city,classification
EMPANGENI RAIL,MAIN
ENDWILINI,N/A
ENGINE GARAGE,N/A
ENNERDALE,OUTLYING
ERASMIA,LOCAL
ERASMUS,N/A
ERMELO,OUTLYING
ESHOWE,OUTLYING
ESTCOURT,OUTLYING
ESWATINI,N/A
ETHWATHWA,OUTLYING
ETWATWA,OUTLYING
EVANDER,OUTLYING
Evaton,OUTLYING
EVATON MALL,OUTLYING
Evaton Plaza,OUTLYING
EVATON WEST,OUTLYING
EVELEIGH,LOCAL
EXEL GARAGE OPPOSITE LEHAKOE,N/A
FAIRLANDS,LOCAL
FARADAY,LOCAL
FARMALL A.H,LOCAL
FERNDALE,LOCAL
FERNWOOD PARK,MAIN
FICKSBURG,OUTLYING
FLAMWOOD,OUTLYING
FLORIDA,LOCAL
FOCHVILLE,OUTLYING
FONTAINEBLEU,LOCAL
FORDSBURG,LOCAL
FORT BEAUFORT,OUTLYING
FOURWAY STOP,N/A
FOURWAYS,LOCAL
Francistown,N/A
FRANKFORT,OUTLYING
FREE STATE,N/A
FREEDOMWAY,OUTLYING
FREEMANSVILLE,OUTLYING
G- WEST INDUSTRIAL,N/A
GA GKAPANE,OUTLYING
GA MOKGWATHI,OUTLYING
GA RANKUWA,LOCAL
GABA VILLAGE,N/A
Gabarone,N/A
GABERONE,N/A
GABORONE,N/A
GABORONE WEST,N/A
GABORONE WEST INDUSTRIAL,N/A
GABRIEL,N/A
GA-NCHABELENG VILLAGE,OUTLYING
GA-NKWANA,OUTLYING
GA-PHASHA VILLAGE,OUTLYING
GARAGE,N/A
GARANKUWA,LOCAL
GA-RANKUWA,LOCAL
GARSFONTEIN RD,LOCAL
GAUTENG,N/A
GEDULD,LOCAL
GEORGE,MAIN
GERMISTON,LOCAL
GERMISTON SOUTH,LOCAL
GEZINA,LOCAL
GINNERY CORNER,N/A
GIYANI,OUTLYING
GLEN COWIE,OUTLYING
GLEN MARAIS,LOCAL
GLENANDA,LOCAL
GLENESK,LOCAL
GLENRIDGE EXT 16,LOCAL
GLENWOOD,MAIN
Golden Highway,LOCAL
Gqeberha,MAIN
GRANITESIDE,N/A
GRASKOP,OUTLYING
GRASSY PARK,MAIN
GRASY PARK,MAIN
GREEENWELL MATONGO,N/A
GREENFIELDS,LOCAL
GREENSIDE,LOCAL
Greenwell Motoongo,N/A
GROBLERSDAL,OUTLYING
GROSVENOR,LOCAL
HA MUTSHA THOHOYANDOU,OUTLYING
HA SESHOTE,N/A
HADDON,LOCAL
HADISON PARK,MAIN
HALFWAY HOUSE,LOCAL
HAMANSKRAAL,LOCAL
HAMMANSKRAAL,LOCAL
HARARE,N/A
HARDING,OUTLYING
HARRISMITH,OUTLYING
HARTEBEESFONTEIN,OUTLYING
HARTSWATER,OUTLYING
HAZELDEAN OFFICE PARK,LOCAL
HAZYVIEW,OUTLYING
HEBRON,OUTLYING
HEIDELBERG,OUTLYING
HEIDELBURG,OUTLYING
HEIDERAND,OUTLYING
HELDERKRUIN,LOCAL
HELLBRON,OUTLYING
HENDRINA,OUTLYING
HENNOPSPARK,LOCAL
HERBRON,OUTLYING
HERCULES,LOCAL
HERMANSTAD,LOCAL
HEUWELOORD,LOCAL
HIGHLANDS INN,N/A
HILL OF GOOD HOPE,N/A
HILLBROW,LOCAL
HILLCREST,MAIN
HILTON,MAIN
HOMELAKE,OUTLYING
HONEYDEW,LOCAL
Horizon,LOCAL
HUMANSDORP,OUTLYING
HURSTHILL,LOCAL
IDUTYWA,OUTLYING
IKAGENG,OUTLYING
INDUSTRIA,LOCAL
INDUSTRIA WEST,LOCAL
INDUSTRIAL ORKNEY,OUTLYING
INDUSTRIAL PARK,LOCAL
INDUSTRIES EAST,LOCAL
ISANDO,LOCAL
ISIPINGO,MAIN
ISIPINGO HILLS,MAIN
ISIPINGO RAIL,MAIN
IVORY PARK,LOCAL
IVORY PARK EXT 2,LOCAL
IXOPO,OUTLYING
JACKAROO,OUTLYING
JACOB NANNI PLACE,MAIN
JAN KEMPDORP,OUTLYING
JAN NIEMAND PARK,LOCAL
JANE FURSE,OUTLYING
JANEFURSE LIMPOPO,OUTLYING
Janefurst,OUTLYING
JANSEN PARK,LOCAL
Jeppes Town,LOCAL
Jeppestown,LOCAL
JET PARK,LOCAL
JETPARK,LOCAL
JHB,LOCAL
JOHANNESBURG,MAIN
JOHANNESBURG CITY,LOCAL
JOHANNESBURG SOUTH,LOCAL
JOZINI,OUTLYING
JWANENG,N/A
KAALFONTEIN,LOCAL
KAALFONTEIN EXT 4,LOCAL
KABOKWENI,OUTLYING
KAGISO,LOCAL
KAGISO 2,LOCAL
KAKAMAS,OUTLYING
KAMEELDRIFT EAST,LOCAL
KANANA,OUTLYING
Kanana - Orkney,OUTLYING
KANANA EXT 5,OUTLYING
KANYE,N/A
KATHU,OUTLYING
KATLEHONG,LOCAL
KATUTURA,N/A
Kelvin North,N/A
KELVIN NORTH / BULAWAYO,N/A
KEMPTON PARK,LOCAL
KENDAL FOREST,N/A
KENSINGTON B,LOCAL
KEW,LOCAL
KGAPANE,OUTLYING
KHOEBO MASERU,N/A
KHOMOSDAL,LOCAL
KIBLER PARK,LOCAL
KIMBERLEY,MAIN
KINGS WILLIAMS TOWN,OUTLYING
KIRKWOOD,OUTLYING
KLEETMANSHOOP,N/A
Klerk Industria,OUTLYING
KLERKINDUSTRIA,OUTLYING
KLERKSDOP,OUTLYING
KLERKSDORP,OUTLYING
KLERKSDORP 2570,OUTLYING
