town_name,billing_town,zone,ops_branch
Ga-Tefu,BOC,3,PTG
Ga-Thaba,GKK,2,PTG
Ga-Tibu,BOC,3,PTG
Ga-Tisana,JFH,4,PTG
Ga-Tshaba,MAP,3,PTG
Ga-Tshipana,GLL,3,PTG
Ga-Tshokwe,MGL,4,PTG
Ga-Tshwene,GKK,2,PTG
Ga-Tshwene,WHI,2,NLP
Ga-Tsogwe,HAV,4,JNB
Ga-Wannankaya,HNB,3,PTG
Gaybrook,BTD,4,PSH
Gazini,CFB,4,ELS
Gbini,IWE,6,ELS
Gcabalata,LAN,3,ELS
Gciala,MNB,5,ELS
Gcibala,TSO,5,ELS
Gcibaloma,TSO,5,ELS
Gcilima,BMA,2,PSH
Gcina,SKT,6,BFN
Gcina,NCO,5,ELS
Gcina,LUF,9,BFN
Gcinisa,BEL,3,ELS
Gcwaleni,NSL,6,PSH
Gcwensa,FNS,3,DUR
Gcwentsa,BTD,4,PSH
Gedion,TOL,5,PTG
Geelbek,LGR,7,CPT
Geilishana,BWH,4,ELS
Geju,KEK,4,ELS
Geluk,KRO,4,KPR
Geluk,GEL,7,KPR
Geluk's Location,JFH,4,PTG
Geluksburg,GLB,4,BEM
Gelukspan,MOO,5,KPR
Gelukspruit,GLS,2,UTN
Gemsbokvlakte,GEM,7,KPR
Gemvale,GVE,6,PSH
Genadendal,GND,5,CPT
Genazano,TON,2,DUR
Geneva,GEN,4,KPR
Gengqephezulu,NGQ,2,ELS
Genua,TOL,5,PTG
George,GRJ,1,GRJ
Geraldine,MAM,4,PTG
Gerdau,GDY,3,KPR
Germistion,CRI,5,DUR
Germiston,GMT,1,JNB
Gesini,NCO,5,ELS
Gesini,NOB,5,ELS
Geysdorp,GYD,5,KPR
Gezubuso,PZB,3,DUR
Ghandlanani,HMG,4,PTG
GHANZI,GHZ,10,GBE
Gidjana,MLM,6,PTG
Giesenkraal,GIE,7,KIM
Gijamandzini,MLM,6,PTG
Gilead,GLL,3,PTG
Gingindlovu,GIN,2,EMG
Girdwood,NQK,4,ELS
Giyani,GIY,5,PTG
Gladstone,TCR,3,BFN
Glasgow,BZT,4,NCS
Glaudina,ALB,4,KPR
Glen,GLN,1,BFN
Glen Cowie,GLC,4,PTG
Glen Echo,HBD,2,PSH
Glen Harvie,WTI,3,JNB
Glen Lennie,AFY,3,BEM
Glen Muir,CIA,2,ELS
Glen Rock,GLR,3,CDO
Glen Roy,MSH,2,PTG
Glen Roy,SPV,4,CDO
Glenbella,ECT,5,DUR
Glencairn,SAD,5,ELS
Glencliff,BED,4,CDO
Glencoe,GJO,2,NCS
Glencoe,BOA,6,ELS
Glenconnor,GNQ,4,PLZ
Glendale,OTM,4,DUR
Glendon,BRG,5,NCS
Gleneric,MFF,4,ELS
Glenferness,CRL,4,PTG
Glengariff,CIA,2,ELS
Glengarry,BTD,4,PSH
Glengazi,NSL,6,PSH
Glenmore,CMM,4,ELS
Glenmore Beach,PED,2,PSH
Glenrock,GFS,3,BFN
Glenside,FNS,3,DUR
Glentana,SKB,1,GRJ
Glenwood,AMA,3,ELS
Gloria,GLO,2,WIR
Glosam,LHA,6,UTN
Gloucester,STF,3,PSH
Gluckstadt,GLU,5,NCS
Gngweni,BLE,5,ELS
Goba,TGW,4,NLP
GOBABIS,GBS,6,WDH
Gobe,QBQ,4,ELS
Gobhoti,ENG,4,ELS
Goboti,ENG,4,ELS
Gobozana,DBZ,3,ELS
Godidi,KTI,4,ELS
Godidi,KWT,3,ELS
Godini,NGG,2,ELS
Godini,TSL,2,ELS
Godwan River Estates,NGW,2,NLP
Godzi,TSL,2,ELS
Goede Hoop,LMB,3,PTG
Goedehoop,ASK,8,BFN
Goedehoop,WEG,3,CPT
Goedemoed,GGM,5,BFN
Goedgedacht,OWD,5,KIM
Goedgedacht,PHK,4,PTG
Goedgeloof,CAO,5,EMG
Goedgevonden,MOO,5,KPR
Goedgevonden,GLL,3,PTG
Goedgevonden,SIF,1,KPR
Goedverwacht,GVW,3,VDR
Goedverwacht,MAM,4,PTG
Gogogo,SIB,5,PTG
Gogogo,NOT,8,PSH
Goingoa,GAR,5,ELS
Goji,KTP,9,BFN
Golden Valley,CHQ,5,PLZ
Golela,GOL,6,EMG
Golela,BNY,5,PSH
Goli,NOT,8,PSH
Golomane,KTP,9,BFN
Golomi,MAI,1,ELS
Gomane,BUW,4,DUR
Gombani,TSP,5,PTG
Gomolo,NSL,6,PSH
Gomvlei,GMV,4,BFN
Gondeni,MLM,6,PTG
Gondeni,TKN,6,PTG
Gondeni,SIB,5,PTG
Gongo,LBD,2,ELS
Gongo,QMB,3,ELS
Gongota,NQK,4,ELS
Gonothi,OLM,3,ELS
Gonubie,GNB,2,ELS
Gonzaga Mission,QUD,6,DUR
Good Hope,EWB,7,KIM
Good Hope,NQT,4,NCS
Good Hope,PHK,4,PTG
Good Hope,DBZ,3,ELS
Good Hope,KNP,7,PSH
Good Hope,MUP,4,ELS
Good Hope,NTS,4,ELS
Goodhope,CHM,2,ELS
Goodhouse,GOO,8,UTN
Goodwood,GWO,1,CPT
Gopane,LHR,5,RTR
Goqwana,GVE,6,PSH
Goqwana,TSL,2,ELS
Goqwana,TIN,7,PSH
Gora,PHK,4,PTG
Gora,NSL,6,PSH
Gordon's Bay,GDB,1,CPT
Goree,ROR,5,CPT
Gosani,NYK,4,ELS
Goshen Mission,CHC,4,ELS
Goso,OLM,3,ELS
Gosshill,LBD,2,ELS
Gottenburg,TML,4,NLP
Gouda,GDA,4,CPT
Goudini,RTP,4,CPT
Gouldville,SIB,5,PTG
Gouritsmond,GOM,3,GRJ
Gowe,SEE,5,PTG
Goxe,FDD,4,PSH
Goxe,MAF,6,PSH
Goxe,MFF,4,ELS
Goxe,MFF,4,ELS
Goxe,NML,6,PSH
Gqadu,LAF,6,ELS
Gqadushe,KWA,4,ELS
Gqala,CHM,2,ELS
Gqaqhala,KUM,9,BFN
Gqaqhane,MAI,1,ELS
Gqobonco,CGL,3,ELS
Gqodi,KWT,3,ELS
Gqogqora,TSO,5,ELS
Gqokwe,NTW,9,BFN
Gqubeni,OLM,3,ELS
Gqumashe,FTR,4,ELS
Gqunqe,MNB,5,ELS
Gqupu,IDY,4,ELS
Gqutyini,ENG,4,ELS
Gqutyini,ENG,4,ELS
Gqwaru,ROD,6,PSH
Gqwesa,LAH,9,BFN
Gqweta,BOS,4,NLP
Graaff-Reinet,GRT,4,CDO
Graaff-Reinet,GRT,4,CDO
Graafwater,GWS,4,VDR
Grabouw,GRB,2,CPT
Grafton,SAD,5,ELS
Grahamstown,GHO,4,PLZ
Granaatboskolk,GBK,7,UTN
Granta,CHC,4,ELS
Grasfontein,BLL,5,RTR
Graskop,GRX,3,NLP
Graspan,DKV,5,KIM
Graspan,GPA,3,KIM
Gravelotte,GVL,5,PTG
Greefslaagte,BLL,5,RTR
Green Farm,MLM,6,PTG
Green Gables,KPR,1,KPR
Green River,DBZ,3,ELS
Green Valley,ACH,4,NLP
Greenlands,AFY,3,BEM
Greenpoint,GLB,4,BEM
Greenside,KRI,2,WIR
Greenside,NUF,5,JNB
Greenville,BMA,2,PSH
Gregory,GRG,5,PTG
Greylingstad,GDR,4,JNB
Greyspan,ASK,8,BFN
Greystone,GRY,4,PLZ
Greyton,GYN,4,CPT
Greytown,GTN,4,DUR
Griebdale,UTT,1,ELS
Griquatown,GRI,5,KIM
Groblersdal,GRO,4,WIR
Groblershoop,GBH,4,UTN
Groenfontein,KRD,4,GRJ
Groenfontein,RVB,3,RTR
Groenpunt,DYE,4,JNB
Groenriviersmond,KTZ,8,VDR
Groenvlakte,HGB,4,ELS
Groenvlei,GRV,3,NCS
Grondneus,GNE,3,UTN
Groot Brakrivier,GBR,1,GRJ
Groot Jongensfontein,GJF,4,GRJ
Groot Marico,GMO,4,RTR
Groot Spelonke,SMC,3,PTG
Grootdam,GFS,3,BFN
Grootdoring,ODV,7,KIM
Grootdraai,TOL,5,PTG
Grootdrif,GRD,6,VDR
Grootdrink,GDK,3,UTN
Grootfontein,HNB,3,PTG
GROOTFONTEIN,GRN,9,WDH
Grootgeluk,BRG,5,NCS
Grootgeluk,VYD,4,NCS
Grootklip,GPS,3,PTG
Grootkraal,GRK,4,GRJ
Grootmis,GRM,9,UTN
Grootpan,DGR,5,PTG
Grootpan,GRP,4,RTR
Grootplaas,SKP,3,RTR
Grootspruit,GTS,4,NCS
Grootvlei,BFN,1,BFN
Grootvlei,GIR,4,JNB
Grootvlei,GIR,4,JNB
Grootvley,KLB,2,PTG
Grotto Bay,DAR,3,CPT
Groveput,PRK,7,UTN
Guba,LAF,6,ELS
Gubahoek,IWE,6,ELS
Gubeni KwaSilatsha,QKO,3,ELS
Gubevu,BYI,2,ELS
Gubhuzi,CED,6,PSH
Gubuzi,ROD,6,PSH
Gudla,NTS,4,ELS
Gudlintaba,UMZ,5,DUR
Gudlintaba,FDD,4,PSH
Gugulethu,BSI,4,PSH
Gugulethu,BRV,8,BFN
Gugulethu,MDT,4,ELS
Guguletu,GWO,1,CPT
Guguletu,SAD,5,ELS
Gugwana,NQK,4,ELS
Gugweni,BSI,4,PSH
Gugwini,HGL,3,PSH
Gugwini,BON,4,PSH
Gugwini,LAH,9,BFN
Gugwini,NCO,5,ELS
Guijini Mission,MUD,5,DUR
Gujedlini,CRI,5,DUR
Gulandoda,ENG,4,ELS
Gule,HSP,2,NCS
Gumbani,KLT,5,PTG
Gumbini,TSL,2,ELS
Gumbu,MUE,7,PTG
Gume,NQB,6,ELS
Gumela,MAT,6,PTG
Gumtree,GUM,4,BEM
Gumzana,IMI,4,PSH
Gundani,MAT,6,PTG
Gungqwane,NTW,9,BFN
Gungubele,NOB,5,ELS
Gunyeni,LSK,4,ELS
Guqa,BZN,3,PSH
Guqa,FLG,5,ELS
Guqa,OLB,7,PSH
Guquka,UTT,1,ELS
Guse,ASK,8,BFN
Gutshwa,WHI,2,NLP
Gutyubeni,NGQ,2,ELS
Guxuxu,NYK,4,ELS
Guyuni,TKN,6,PTG
Guyuni,MAT,6,PTG
Gwaba,CIA,2,ELS
Gwaba,DBZ,3,ELS
Gwabeni,BFV,4,ELS
Gwadana,IDY,4,ELS
Gwadane,KTP,9,BFN
Gwadu,CIO,4,ELS
Gwadu,CIO,4,ELS
Gwala,BZN,3,PSH
Gwaleni,CFB,4,ELS
Gwali,FTR,4,ELS
Gwangxu,TNZ,5,ELS
Gwatyu,STM,5,ELS
Gwegwe,BYI,2,ELS
Gwetyibeni,EBE,4,ELS
Gwili Gwili,CHM,2,ELS
Gwiligwili,KEK,4,ELS
Gxaku,LAH,9,BFN
Gxara,QOM,5,ELS
Gxelesha,FLG,5,ELS
Gxeni,BTV,1,ELS
Gxeni,HLC,5,PSH
Gxetu,CHM,2,ELS
Gxojana,NQK,4,ELS
Gxojana,UTT,1,ELS
Gxojeni,LAF,6,ELS
Gxojeni,LAN,3,ELS
Gxokoza,NSL,6,PSH
Gxulu,KEK,4,ELS
Gxwaleni,FDD,4,PSH
Gxwaleni,NSL,6,PSH
Haakdoring,HKD,4,PTG
Haarlem,HLM,7,PLZ
Haasfontein,PPB,4,NCS
Hackney,TSK,6,ELS
Ha-Davhana,KLT,5,PTG
Hadiaho,MAF,6,PSH
Haenertsburg,HNB,3,PTG
Ha-Folovhodwe,MAT,6,PTG
Ha-Funyufunyu,DZN,5,PTG
Haga-Haga,HGA,3,ELS
Hala,BRV,8,BFN
Hala,HGB,4,ELS
Halane,NOB,5,ELS
Halesowen,CDO,1,CDO
Hali No 1,ASK,8,BFN
Hali No 2,ASK,8,BFN
Hall`s Hill,CHM,2,ELS
Hallatt's Hope,MGX,5,KPR
Ha-Mabila,MAT,6,PTG
Ha-Madodonga,MRM,4,PTG
Ha-Magau,LTT,4,PTG
Ha-Mahatlani,HMG,4,PTG
Ha-Majoro,KNP,7,PSH
Hamakuya,TKN,6,PTG
Hamamphagi,BDX,4,PTG
Hamanavhela,MRM,4,PTG
Ha-Mandiwana,DZN,5,PTG
Hamantsha,AFB,4,PTG
Ha-Manyima,EMH,4,PTG
Ha-Mapila,DZN,5,PTG
Ha-Mashamba,EMH,4,PTG
Ha-Mashau,BCH,4,PTG
Ha-Masia,LEV,5,PTG
Ha-Matsheketsheke,MAT,6,PTG
Ha-Matsika,MLM,6,PTG
Ha-Matsila,BCH,4,PTG
Hambanathi,TON,2,DUR
Hamburg,HMB,2,ELS
Hammanshof,HMH,4,CPT
Hammanskraal,HKR,3,JNB
Ha-Mohapi,KNP,7,PSH
Ha-Mphaila,DZN,5,PTG
Hamsini,NOT,8,PSH
Ha-Mufeba,BCH,4,PTG
Ha-Mukhoro,BCH,4,PTG
Hanani,KLT,5,PTG
Hange,GAR,5,ELS
Hangwini,MFF,4,ELS
Hankey,HKY,4,PLZ
Hankonoane,MAF,6,PSH
Ha-Nokhohloko,ELH,9,BFN
Hanover,HVR,5,CDO
Hanover,BIS,3,ELS
Hanover Road,HNV,6,CDO
HANTAMSDRIF,HTM,8,VDR
Hanthabalala,EMH,4,PTG
Happy Valley,BOV,5,CPT
Ha-Rabali,DZN,5,PTG
Ha-Radali,SIB,5,PTG
Ha-Ramantsha,AFB,4,PTG
Ha-Rasebei,EBR,3,BFN
Harburg,FNS,3,DUR
Hardale,NTW,9,BFN
Harding,HGL,3,PSH
Ha-Ribungwani,HMG,4,PTG
Harrisburg,HSB,2,KPR
Harrisdale,SWM,6,UTN
Harrismith,HRS,4,BEM
Harrison,QBQ,4,ELS
Hartbeesfontein,HBR,2,KPR
Hartbeeskop,HBK,4,NLP
Hartbeeslaagte,BLB,5,RTR
Hartbeespoort,HBP,2,JNB
Hartenbos,MSB,2,GRJ
HARTSVALLEI,HTV,4,KIM
Hartswater,HWA,4,KIM
Harvard,MBS,6,KIM
Ha-Sefoko,TIN,7,PSH
Hasetati,KNP,7,PSH
Ha-Sundani,HMG,4,PTG
Ha-Tlhakanelo,KNP,7,PSH
Hattingspruit,HSP,2,NCS
Ha-Wayeni,BCH,4,PTG
Hawini,NON,4,EMG
Hawston,HAW,3,CPT
Haystack,WBG,3,DUR
Hazelmere,VAM,2,DUR
Hazyview,HZY,2,NLP
Hebron,MBP,3,JNB
Hebron,GRX,3,NLP
Heckel,MGW,4,ELS
Hectorskraal,DVT,4,GRJ
Hectorspruit,HPS,3,NLP
Heerenlogement,HEE,5,VDR
Heidelberg,HBS,5,GRJ
Heidelberg,HGR,3,JNB
Heilbron,HNR,4,BEM
Heiso,KAM,6,KIM
Hekpoort,HKP,2,RTR
Helderstroom,VDP,4,CPT
Helena,MTA,2,PTG
Helpmekaar,HPM,4,NCS
Helula,MAT,6,PTG
Helvetia,VEN,8,KPR
Hemlock,AIR,3,NLP
Hemuhemu,RMD,3,DUR
HENDRICKS DRIF,HND,7,BFN
Hendriksdal,HRL,2,NLP
Hendrina,HDN,3,WIR
Hennenman,HAN,5,BFN
HENTIES BAY,HTB,8,WDH
Herbertsdale,HSD,3,GRJ
Hereford,HRF,4,WIR
Hermannsburg,AHR,5,DUR
Hermanus,HER,4,CPT
Hermon,HMN,3,CPT
Herold,HRD,1,GRJ
Herold's Bay,PDP,1,GRJ
Herschel,HSL,7,BFN
Hertzog,EWB,7,KIM
Hertzog,LID,5,CDO
Hertzogville,HZV,5,BFN
Het Kruis,HKS,4,VDR
Heuningneskloof,HNK,2,KIM
Heuningspruit,HGN,4,KPR
Heuningvlei,POF,8,KPR
Heydon,HYD,4,CDO
Hibberdene,HBD,2,PSH
High Hill,BWH,4,ELS
High View,KUM,9,BFN
Highbury,UTT,1,ELS
Highcliff,TSL,2,ELS
Highflats,HHR,4,DUR
Highlands,BCE,5,NCS
Highlands,UMZ,5,DUR
Hilandale,HIL,7,CPT
Hilihili,NQK,4,ELS
Hill,CHM,2,ELS
Hillandale,CHM,2,ELS
Hillandale,HGA,3,ELS
Hillcrest,PIN,1,DUR
Hillcrest,SNK,8,GRJ
Hillendale,FXT,1,EMG
Hills Haven,WTI,3,JNB
Hillside,LDN,7,BFN
Hillside,LEH,6,PSH
Hillside,LSK,4,ELS
Hillston,SYG,7,BFN
Hilton College,HWR,3,DUR
Himeville,HMV,5,DUR
Hinlopen,MGY,4,PTG
Hlaba,DSA,2,PSH
Hlababomvu,LSK,4,ELS
Hlabahlaba,KEK,4,ELS
Hlabashana,MAI,1,ELS
Hlabati,HLC,5,PSH
Hlabati,QMB,3,ELS
Hlabatini,HLC,5,PSH
Hlabatshane,MAI,1,ELS
Hlabisa,HLB,4,EMG
Hlalemtini,BSI,4,PSH
Hlamboteni,SAD,5,ELS
Hlamvana,NSL,6,PSH
Hlane,MFF,4,ELS
Hlangakhule,HAE,2,DUR
Hlanganai,BUW,4,DUR
Hlanganani,BCH,4,PTG
Hlangani,TSL,2,ELS
Hlankomo,MTY,5,ELS
Hlankomo,TNZ,5,ELS
Hlantjwa,BGU,6,BFN
Hlapetsa,VAH,4,NLP
Hlathi Khulu,NQK,4,ELS
Hlathingwe,NTB,4,NCS
Hlobane,EMG,1,EMG
Hlobane,HBN,4,NCS
Hlobo,NTS,4,ELS
Hlogotlou,HLO,5,WIR
Hlohlolwane,CLC,4,BEM
Hlokozi,HHR,4,DUR
Hlokozi,HHR,4,DUR
Hlomendini,NRK,4,DUR
Hlomendlini,BGU,6,BFN
Hlontsheni,BLE,5,ELS
Hlophe,VAM,2,DUR
Hloseni,PDD,5,PLZ
Hlubi,SSH,4,ELS
Hluhluwe,HWE,4,EMG
Hlutankungu,HHR,4,DUR
Hluvukani,TML,4,NLP
Hlwahlwazi,HLC,5,PSH
Hlwahlwazi,HLC,5,PSH
Hlwehlweni,LEH,6,PSH
Hobb's Hope,EWB,7,KIM
Hobeni,HOB,4,ELS
Hobhouse,HHS,4,BFN
Hoedspruit,HDT,5,NLP
Hoek van die Berg,AVR,6,CPT
Hoekwil,WLR,1,GRJ
Hoffenthal Mission,BRG,5,NCS
Hofisi,MFF,4,ELS
Hofmeyer,HFM,3,CDO
Hogsback,HGB,4,ELS
Hohane,MFF,4,ELS
Hohita,STM,5,ELS
Hohobeng,SKT,6,BFN
Hokwana,BIS,3,ELS
Hokwe,TML,4,NLP
Holani,DTF,5,CDO
Holbank,HOL,5,WIR
Hole in the Wall,CFB,4,ELS
Holland,SNW,5,DUR
Holly Country,SBG,4,JNB
HOLMDENE,HLE,5,NCS
Holme Park,HLP,5,JNB
Holy Cross Mission,HLC,5,PSH
Homer,MDD,1,NCS
Hondefontein,FSG,8,GRJ
Hondeklipbaai,HKB,9,VDR
Honey,WPT,5,PTG
Honey Dale,FTR,4,ELS
Honeybird,AVC,2,NLP
Hoopstad,HST,5,BFN
Hoopvol,DHP,3,GRJ
Hope,BPZ,2,WIR
Hopedale,NTW,9,BFN
Hopefield,HPF,2,VDR
Hopetown,HPT,4,KIM
Hopevale,HGL,3,PSH
Horton,BFV,4,ELS
Hosia,SBW,4,WIR
Hota Mbeule,LUF,9,BFN
Hotagterklip,HOT,6,CPT
Hotazel,HZL,7,KIM
Hotolo,MFF,4,ELS
Hottentotskloof,HTK,5,CPT
Houmoed,PFD,6,UTN
Hout Bay,STX,1,CPT
Houtkraal,PFT,6,KIM
Houtnek,SLS,3,BFN
Houwater,GIE,7,KIM
Houwhoek,BTS,3,CPT
Hoveni,OFL,5,PTG
Howick,HWR,3,DUR
Hudley,MZI,2,EMG
Huhudi,VRU,6,KPR
Hukuwa,TSK,6,ELS
Hukuwa,TSK,6,ELS
Humansdorp,HDR,4,PLZ
Humanskraal,OTD,3,KPR
Humulani,NAM,6,PTG
Hunterville,VER,4,JNB
Huntingdon,SKZ,4,NLP
Hutchinson,VCW,8,KIM
Hwafeng,PHK,4,PTG
Hwantsana,BWH,4,ELS
Hwelereng,GPS,3,PTG
Hwelesaneng,CUR,3,PTG
Hwibi,GLL,3,PTG
Hyde Park,SAE,3,DUR
Hydro Park,HVD,5,BFN
iBende,EBE,4,ELS
Ibhayi,BHD,2,PLZ
Ichubo,FXT,1,EMG
iCumakala,LAF,6,ELS
iCumakala,NTS,4,ELS
Ida,IDA,8,BFN
Idutywa,MYU,3,ELS
Ifafa Beach,HBD,2,PSH
iGqunqe,MNB,5,ELS
Igudweni,MDT,4,ELS
Ikageleng,ZST,4,RTR
Ikgomotseng,SOU,2,BFN
iKhiwane,CHM,2,ELS
Ikutseng,WAR,3,KIM
Ilanga,HAE,2,DUR
Ilinge,BOA,6,ELS
Illovu,AZT,2,DUR
Imincangathelo,ALC,4,ELS
Immelman,WPT,5,PTG
Immerpan,IMP,3,PTG
Impala,MER,3,NLP
Impendle,BUW,4,DUR
Impumelelo,DON,3,WIR
Inanda,KHU,1,DUR
iNcaluka,LUF,9,BFN
iNcedana,NYK,4,ELS
Inchanga,HAE,2,DUR
Indawana,CLD,6,DUR
Indermark,VIV,4,PTG
Indermark,VIV,4,PTG
Indwe,IWE,6,ELS
Infanta,IOR,6,GRJ
iNgcingwane,IDY,4,ELS
Inglewood,CHM,2,ELS
Ingogo,IGO,1,NCS
Ingwangwane,RVS,5,DUR
Ingwavuma,ING,7,EMG
Ingwemabala,RMG,1,PSH
iNgxalathi,BWH,4,ELS
Inhlazatshe,PZB,3,DUR
Inkamana Mission,VYD,4,NCS
iNkonkwane,KTI,4,ELS
iNtlambonkulu,EZI,4,ELS
Intsingizi,BZN,3,PSH
Inverness,OZI,1,NCS
Invicta,CRY,3,ELS
iNyoka,MYU,3,ELS
Ipelegeng,SRK,5,KPR
Ipopeng,FMR,4,BFN
Iqadi,KHU,1,DUR
Ireagh,TML,4,NLP
Ireagh,TML,4,NLP
Ironstone,MAI,1,ELS
Isandlwana,CKP,7,DUR
iSheshegu,IDY,4,ELS
iSikhoba,NQK,4,ELS
Isilimela Mission,NSL,6,PSH
Isithebe,ISB,4,DUR
Iswepe,ISP,5,NCS
Itayi,MYU,3,ELS
Ithembe,NRK,4,DUR
Itielene,MAM,4,PTG
Itireleng,LUW,8,KPR
Itireleng,MTV,4,KIM
iTsitse,BLE,5,ELS
Itsoseng,ITS,4,KPR
Itumeleng,JSN,4,BFN
Ivanhoe,HHR,4,DUR
Ivory Park,CAV,1,JNB
Ixopo,IXO,4,DUR
Izeleni,BRS,3,ELS
Izilangwe,BZN,3,PSH
Izingolweni,IZN,2,PSH
Izinini,BZN,3,PSH
Izotsha,ISH,1,PSH
Jabauu,MAF,6,PSH
Jabavu,RKD,4,NCS
Jacobsbaai,SLD,1,VDR
Jacobsdal,JDL,2,KIM
Jagersfontein,JSN,4,BFN
Jagersrust,GLB,4,BEM
Jagtdriftkolk,KHD,5,UTN
Jakadu,EBE,4,ELS
Jalamba,ELD,2,ELS
Jamani,LBD,2,ELS
Jambila,JAM,3,NLP
Jamela,HLR,4,PTG
Jamestown,JTR,7,BFN
Jammersdrif,JMD,4,BFN
Jan de Boers,TOW,5,CPT
Jan Kempdorp,JKP,4,KIM
Jane Furse,JFH,4,PTG
Jansenville,JSV,5,PLZ
JANSEPUT,JSP,5,PTG
Jebe,NYK,4,ELS
Jeffreys Bay,JBY,4,PLZ
Jellimans Kloof,BLP,5,CDO
Jems,KTI,4,ELS
Jengce,NTW,9,BFN
Jensi,KTI,4,ELS
Jeppe's Reef,KAL,3,NLP
Jericho,HAV,4,JNB
Jerico,BSI,4,PSH
Jerome,MLM,6,PTG
Jimmy Jones,MAV,5,PTG
Jixini,BTV,1,ELS
Jobskop,HNB,3,PTG
Jogilizwe,BTD,4,PSH
Johannesburg,JNB,1,JNB
Johnson's Post,JOP,3,GRJ
Jojozi,FTR,4,ELS
Jojweni,BYI,2,ELS
Jojweni,BYI,2,ELS
Jojweni,KEK,4,ELS
Jojweni,KTI,4,ELS
Jojweni,LAF,6,ELS
Jojweni,MAI,1,ELS
Jojweni,NOB,5,ELS
Jojweni,TSO,5,ELS
Jokong,GIY,5,PTG
Jolivet,HHR,4,DUR
Jomlo,HGB,4,ELS
Jongensklip,RTP,4,CPT
Josling,KNB,3,UTN
Joubertina,JBT,6,PLZ
Jovelen,SKT,6,BFN
Jovu,LBD,2,ELS
Jozana's Hoek,SKT,6,BFN
Jozana's Nek,SKT,6,BFN
Jozini,JOZ,5,EMG
Judea,GIN,2,EMG
Juju,BRV,8,BFN
Jujura,NYK,4,ELS
Julesburg,OFL,5,PTG
Julukuqu,BYI,2,ELS
Juno,GLL,3,PTG
Jupiter,MTA,2,PTG
Justicia,SKZ,4,NLP
JWANENG,JNG,5,GBE
Jwayi,NTS,4,ELS
Ka Zinja,NGG,2,ELS
Kaalfontein,IWE,6,ELS
Kaalpan,MOO,5,KPR
Kaalrug,KAL,3,NLP
Kaalvlakte,OZI,1,NCS
Kaapmuiden,KPM,2,NLP
Kaapsehoop,KPH,2,NLP
Kabakazi,MNB,5,ELS
Kabeana,GSB,4,PTG
Kabeni,FLG,5,ELS
Ka-Bungeni,BCH,4,PTG
Ka-Chavani,EMH,4,PTG
Ka-Dinga,MLM,6,PTG
Kaditshwene,MOK,4,PTG
Kadouw,COE,2,PLZ
Ka-Dumazi,MLM,6,PTG
Ka-Dzingidzingi,GIY,5,PTG
Ka-Dzumeri,LCT,5,PTG
Kaffersleg,KTP,9,BFN
Ka-Gaula,NKO,5,PTG
Ka-Gidya,NKO,5,PTG
Kagiso,MRK,8,KPR
Kagiso,BHP,2,JNB
Ka-Govu,MLM,6,PTG
Ka-Guwela,NKO,5,PTG
Ka-Hasane,KLT,5,PTG
Ka-Homu,GIY,5,PTG
Ka-Jilongo,MLM,6,PTG
Kakamas,KAA,3,UTN
Ka-Khaxani,MUL,5,PTG
Ka-Kheyi,NKO,5,PTG
Kakoje,EWB,7,KIM
Kalana,PDD,5,PLZ
Kalbaskraal,KBA,2,CPT
Kaleni,BZN,3,PSH
Kalinyanga,ENG,4,ELS
Kalkbank,KLB,2,PTG
Kalkfontein,KNV,5,PTG
Kalkspruit,MTA,2,PTG
Kalkwerf,KWF,3,UTN
Ka-Mabayeni,MLM,6,PTG
Ka-Madobi,KLT,5,PTG
Ka-Madonsi,MLM,6,PTG
KaMagwashu,HGL,3,PSH
Ka-Mahonisi,MAV,5,PTG
Ka-Majosi,HMG,4,PTG
Ka-Makhuva,NKO,5,PTG
Ka-Makoxa,GIY,5,PTG
Ka-Mandlhakazi,GMD,4,PTG
Ka-Mapapila,MLM,6,PTG
Ka-Mapayeni,NKO,5,PTG
Ka-Mapuva,GIY,5,PTG
Kamassies,GAM,8,UTN
Kamastone,TSK,6,ELS
Ka-Maswanganyi,GIY,5,PTG
Ka-Matiami,TKN,6,PTG
Ka-Matsakali,MLM,6,PTG
Ka-Matsotsosela,NKO,5,PTG
Ka-Mavalani,GIY,5,PTG
Ka-Maveke,KLT,5,PTG
Ka-Mavele,GMD,4,PTG
Ka-Mavundani,MLM,6,PTG
Ka-Mayephu,NKO,5,PTG
Ka-Mayomela,LTA,4,PTG
Ka-Mbatlo,GIY,5,PTG
Ka-Mbedlhe,NKO,5,PTG
Ka-Mbokota,EMH,4,PTG
Ka-Mchipise,MLM,6,PTG
Kamden,KAM,6,KIM
Kameelbult,KML,5,KPR
Kameeldrift,RWL,2,JNB
Kameelkop,BOC,3,PTG
Kameelkraal,BHS,3,JNB
Kameelpoort,KLA,4,WIR
Kameelpoortnek,KLA,4,WIR
Kameelputs,KEE,4,KIM
Kameelrivier,SBW,4,WIR
Kameelrivier A,SBW,4,WIR
Kamensi,BUW,4,DUR
Ka-Mhinga,TKN,6,PTG
Kamhlushwa,TGW,4,NLP
Kamieskroon,KBG,8,VDR
Ka-Mininginisi,GIY,5,PTG
Ka-Mininginisi,GIY,5,PTG
Kammiebos,KES,5,PLZ
Ka-Mpakani,LCT,5,PTG
Kampersrus,KPS,5,NLP
Ka-Mphambo,MAV,5,PTG
Ka-Muhlaba,LTA,4,PTG
