town_name,billing_town,zone,ops_branch
Basani,GIY,5,PTG
Bashee Bridge,BXS,3,ELS
Bashee Hill,CRY,3,ELS
Bassonskraal,ECT,5,DUR
Bassonskraal,KPI,4,CDO
Basterspad,GSB,4,PTG
Bastiaansrust,KLB,2,PTG
Bathobatho,MNE,5,KPR
Bathurst,BUS,4,PLZ
Bathwakazi,QMB,3,ELS
Batlhalerwa,MAB,3,RTR
Batlharo,EWB,7,KIM
Battlemound,LUW,8,KPR
Baven-on-Sea,RMG,1,PSH
Baviaanskrans,MDK,3,KPR
Baviaanspoort,RWL,2,JNB
Bavuma,MAI,1,ELS
Bawa,BWH,4,ELS
Bayi,LSK,4,ELS
Bazana,LSK,4,ELS
Baziya Mission,NBE,2,ELS
Bazley Beach,UZO,4,DUR
Beachview,THL,2,PLZ
Beacon Bay,BCB,1,ELS
Beacon Hill,ECT,5,DUR
Beakes Rest,BWY,5,RTR
Beaufort West,BFU,6,GRJ
Bebeza,LDN,7,BFN
Beccles,TAS,4,CDO
Beckenham,HGL,3,PSH
Bedford,BED,4,CDO
Bedford,UTT,1,ELS
Bedfordview,GMT,1,JNB
Beecham Woods,NQB,6,ELS
Beeshoek,PMG,6,KIM
Beestekraal,BEE,2,RTR
Begha,MPK,5,PLZ
BEHULPSAAM,BEH,4,CDO
Beitbridge,BBQ,6,PTG
Bekileni,CRY,3,ELS
Bekkersdal,WTI,3,JNB
Bekruipkop,BRB,2,ELS
Bela-Bela,WSR,4,JNB
Beledale,TSL,2,ELS
Belekana,NGQ,2,ELS
Belekence,QMB,3,ELS
Belemu,LEV,5,PTG
Beleni,TKN,6,PTG
Belfast,BFZ,4,WIR
Belfast,SKZ,4,NLP
Belfort,MAF,6,PSH
Bell,BEL,3,ELS
Bella Vista,CER,4,CPT
Bellevue,HLR,4,PTG
BELLEVUE,BLV,3,PLZ
Bellingham,FSK,3,CPT
Bellvale,LID,5,CDO
Bellville,VLL,1,CPT
Belmont,BLT,4,KIM
Belungwini,BTV,1,ELS
Belvue,HBN,4,NCS
Bende Mutale,TKN,6,PTG
Bendell,EWB,7,KIM
Benholm,HGB,4,ELS
Benoni,BNI,1,JNB
Bensonvale,SKT,6,BFN
Berbice,BCE,5,NCS
BERGEN,BEN,3,NCS
Bergendal,TOL,5,PTG
Berg-en-Dal Rest Camp,MER,3,NLP
Bergnek,NUS,2,PTG
Bergplaas,KLP,2,GRJ
Bergplaas,FTR,4,ELS
Bergplaas,BCE,5,NCS
Bergrivier,BGR,2,VDR
Bergsig,SPU,8,UTN
Bergville,BRG,5,NCS
Berlin,BLN,2,ELS
Berseba,HAV,4,JNB
Berseba,TOL,5,PTG
Bertha Shaft Village,VER,4,JNB
Bertievale,KNP,7,PSH
Besiesvlei,BHD,2,PLZ
Besters,BZT,4,NCS
Bestwood,KAT,7,KIM
Bethal,BXL,3,WIR
Bethania,LOP,9,BFN
Bethanie,PAD,3,JNB
Bethel,LOT,5,KPR
Bethel,SSH,4,ELS
Bethelsdorp,BHD,2,PLZ
BETHESDAWEG,BET,4,CDO
Bethlehem,BEM,1,BEM
Bethlehem,BUW,4,DUR
Bethulie,BSN,5,BFN
Betty's Bay,BEB,3,CPT
Bettysgoed,OSH,5,NLP
Beverley,BLO,4,BFN
Bevhula,MLM,6,PTG
Bewley,BWY,5,RTR
Beyele,ENG,4,ELS
Bhabha,BLE,5,ELS
Bhakaleni,LSK,4,ELS
Bhakaleni,MAI,1,ELS
Bhakaneni,OLB,7,PSH
Bhakubha,ELD,2,ELS
Bhala,HLC,5,PSH
Bhalekisi,BRG,5,NCS
Bhanti,NCO,5,ELS
Bhantini,NGG,2,ELS
Bhekumteto,NON,4,EMG
Bhekuzulu,NBH,5,DUR
Bhele,DBZ,3,ELS
Bhesi,NOB,5,ELS
Bhetani,CRY,3,ELS
Bhijolo,BXS,3,ELS
Bhokhwe,BWH,4,ELS
Bhokweni,MGH,4,PSH
Bholani,NSL,6,PSH
Bhomeni,LAF,6,ELS
Bhoneni,TNZ,5,ELS
Bhongolethu,SKT,6,BFN
Bhongweni,KDX,4,PSH
Bhongweni,CIO,4,ELS
Bhoqo,BRV,8,BFN
Bhotwe,ALD,3,ELS
Bhozwana,DTF,5,CDO
Bhukazi,FLG,5,ELS
Bhulule,BWH,4,ELS
Bhunga,ALD,3,ELS
Bhungeni,FDD,4,PSH
Bhungweni,NGB,4,PSH
BHUNYA,BYA,2,MBE
Bierspruit,SWK,4,RTR
Biesiesfontein,RPO,9,UTN
Biesiesvlei,BSV,4,KPR
BIG BEND,BBD,5,MBE
Big Umngazi,NSL,6,PSH
Bijolo,NGQ,2,ELS
Bikane,CIO,4,ELS
Birch,QTN,6,ELS
Birkenstock,OZI,1,NCS
Bisana,NGB,4,PSH
Bisho,BIS,3,ELS
Bisi,BSI,4,PSH
Bisi,FLG,5,ELS
Bismark,OFL,5,PTG
Bitterfontein,RPO,9,UTN
Bityi,BYI,2,ELS
Bizana,BZN,3,PSH
Bizana,NSL,6,PSH
Black Rock,LKG,8,UTN
Blackburn,VAM,2,DUR
Blackburn,GIN,2,EMG
Black's Store,HHR,4,DUR
Blackwoods,GHO,4,PLZ
Blackwoods,QTN,6,ELS
Blairbeth,BLB,5,RTR
Blakesley,BED,4,CDO
Blanco,TAS,4,CDO
Blesbokfontein,DOV,3,KPR
Blesbokvlakte,BPZ,2,WIR
Bleskop,MAK,1,RTR
Bletterman,DER,7,KIM
Blikana,LDN,7,BFN
Blinkpan,BPZ,2,WIR
Blinkwater,COM,4,NCS
Blinkwater,HLR,4,PTG
Blinkwater,BLP,5,CDO
Bloedrivier,PTG,1,PTG
Bloemfontein,BFN,1,BFN
Bloemhof,BHR,6,BFN
Bloemsmond,KEG,2,UTN
Blood River,BDR,4,NCS
Blouberg,DUN,1,CPT
Blouberg,BTK,4,PTG
Blouberg,PFR,5,NCS
BLOUHAAK,BHA,3,PTG
Blouvlei,WEG,3,CPT
Blue Downs,KYT,1,CPT
Blue Gate,UTH,2,PLZ
Blue Horizon Bay,THL,2,PLZ
Blue Sky,BWH,4,ELS
Blue-Gums,BGU,6,BFN
Blybank,CAR,4,JNB
Blydepoort,VAH,4,NLP
Blyth,NQK,4,ELS
Blythdale Beach,SAE,3,DUR
Blythswood,NQK,4,ELS
Boboyi,ISH,1,PSH
Bodenstein,BDS,3,KPR
Bodi,BTK,4,PTG
Bodiam,HMB,2,ELS
Bodini,NOB,5,ELS
Bodirelo Industries,MWS,3,RTR
Bodulang,SDL,6,KIM
Bodutiulo,CUR,3,PTG
Bodweni,FLG,5,ELS
Boegoeberg,BGB,5,UTN
Boekenhoutbult,MKI,3,PTG
Boekenhouthoek,DNN,4,WIR
Boekenhoutskloof,JBY,4,PLZ
Boesmanskop,BMN,5,BFN
BOESMANSRIVIERMOND,BMM,4,PLZ
Bofulo,VKD,3,BFN
Bogaleng,LEB,3,PTG
Boggomsbaai,JOP,3,GRJ
Bohlokong,BOH,1,BEM
Bohule,SUN,2,RTR
Boikhutso,LTX,4,KPR
Boipatong,VDB,4,JNB
Boitshoko,PMG,6,KIM
Boitumelong,BHR,6,BFN
Bojating,MWS,3,RTR
Bojeni,NYK,4,ELS
Bojwana,HZY,2,NLP
Boknesstrand,BKS,4,PLZ
Boksburg,BKB,1,JNB
Bokspits,SWM,6,UTN
Bokwana,TSL,2,ELS
Bolahlakgomo,GPS,3,PTG
Bolana,CVB,5,ELS
Bolata,PJB,4,BEM
Bollantlokwe,MBU,4,RTR
Bolo,BLE,5,ELS
Bolokanang,PSG,3,KIM
Bolopa,CUR,3,PTG
Bolotwa,BOA,6,ELS
Bomapass,KEK,4,ELS
Bombi,BSI,4,PSH
Bomela,ISH,1,PSH
Bomvana,EBE,4,ELS
Bomvini,LBD,2,ELS
Bonabona,MRK,8,KPR
Bonde,NYK,4,ELS
Bongolo Nek,QQD,6,ELS
Bongweni,CHQ,5,PLZ
Bongweni,PDD,5,PLZ
Boniswa,IWE,6,ELS
Bonjaneni,PJB,4,BEM
Bonnievale,BOV,5,CPT
Bontile,MTM,1,ELS
Bontrand,BTD,4,PSH
Bontrug,KKD,3,PLZ
Boomplaas,IWE,6,ELS
Boons,BNS,2,RTR
Bophelong,VDB,4,JNB
Boqo,BRV,8,BFN
Borakalalo,LHR,5,RTR
Boratapelo,MTA,2,PTG
Borchers,BCH,4,PTG
Border Post,AMA,3,ELS
Borelelo,SUN,2,RTR
Borolelo,SWU,3,RTR
Borothamadi,LHR,5,RTR
Borwa,TST,3,BFN
Borwalathoto,TOL,5,PTG
Bosbokrand,BOS,4,NLP
Boschfontein,BSI,4,PSH
Boschfontein,KAL,3,NLP
Boshi,ROC,5,DUR
Boshoek,APH,5,NCS
Boshoek,BHK,2,RTR
Boshof,BHF,3,KIM
Boskop,ORV,5,JNB
Boskuil,BOX,4,KPR
BOSPOORT,BPT,3,KPR
Bosra,LKG,8,UTN
Bossche Diesch,WPT,5,PTG
Boston,DRE,4,DUR
Botani,NCO,5,ELS
Botha's Hill,HAE,2,DUR
Bothashoek,BGF,5,PTG
Bothastrand,GBR,1,GRJ
Bothaville,BHV,3,KPR
Bothetheletsa,KAM,6,KIM
Bothithong,LYK,6,KIM
Botlokwa,BTK,4,PTG
Botrivier,BTS,3,CPT
Botshabelo,BSB,2,BFN
Botshabelo,MNE,5,KPR
Botshabelo,HLR,4,PTG
Botsoleni,TKN,6,PTG
BOTSWANA OTHER,OBW,10,GBE
Bovenste Oog,KKR,3,RTR
Bovini,RVS,5,DUR
Boxwood Farm,FJN,2,ELS
Boyce,KYL,3,GRJ
Bracken,GTN,4,DUR
Brackenfell,BNF,1,CPT
Braemar,UZO,4,DUR
Bragendale,UMZ,5,DUR
Brakeng,VAH,4,NLP
Braki,MTF,5,ELS
Brakkloof,WIS,6,ELS
Brakpan,KHM,1,JNB
BRAKPAN,BPN,1,JNB
Brakspruit,BSG,1,KPR
Brakwater,OZI,1,NCS
Brandfort,BDT,2,BFN
Brandkop,NWV,7,VDR
Brandkraal,KNW,5,CDO
Brandrivier,BRR,5,GRJ
Brandspruti,CCI,4,WIR
Brandvlei,BDV,7,UTN
Brandvlei,RDF,3,JNB
Brandwag,RUB,2,GRJ
Braunschweig,BRS,3,ELS
Bray,BRY,8,KPR
Breakfast Vlei,BFV,4,ELS
Breda,FRR,2,BEM
Bredasdorp,BDD,5,CPT
Breidbach,BRB,2,ELS
Breipaal,DLS,4,KIM
BREIPAAL,BRP,4,BFN
Brendan Village,EVD,3,WIR
Breyten,BNN,4,WIR
Brickenhill,BNR,3,NLP
Bridge Farm,STM,5,ELS
Brilliant Park,MDT,4,ELS
Britannia Bay,VDR,1,VDR
Brits,BTR,3,JNB
Britstown,BSW,7,KIM
Britten,BRT,5,KIM
Brodie Hill,BTK,4,PTG
Broedershoek,KNM,2,NLP
Broedersput,BRO,5,KPR
Broederstroom,HBP,2,JNB
Broham,BRL,1,NLP
Broken Dam,GIE,7,KIM
Brombeek,BBK,5,PTG
Brondal,BRL,1,NLP
Bronkhorstspruit,BHS,3,JNB
Bronville,WEL,5,BFN
Brooklands,HRL,2,NLP
Brooklands,STF,3,PSH
Brooklyn,HHR,4,DUR
Brooklyn,LWL,5,DUR
Brooks Nek,BON,4,PSH
Brooksby,VAP,5,KPR
Brookvale,NQI,2,PSH
Broughton,ALX,3,PLZ
Bruinklip,LUV,6,PLZ
Bruintieshoogte,BJH,3,CDO
Bucklands,BDU,4,KIM
Bucula,NOT,8,PSH
Buddelea,SSH,4,ELS
Buffalo Nek,MFF,4,ELS
Buffalo Thorns,QQD,6,ELS
Buffel Hoek,GLL,3,PTG
Buffelsbaai,KYL,3,GRJ
Buffelsdoring,QQD,6,ELS
BUFFELSDRIF,BFF,3,GRJ
Buffelshoek,ACH,4,NLP
Buffelsjagrivier,SWD,6,CPT
Buffelspruit,KAL,3,NLP
Buffelsvlei,BVV,3,KPR
Buhlali,FLG,5,ELS
Buhlanyanga,HLC,5,PSH
Buhlungwana,QMB,3,ELS
