element,weight_band,price
13,25 to < 30,147.92
13,30 to < 35,163.79
13,35 to < 40,178.96
13,40 to < 45,201.32
13,45 to < 50,217.91
13,50 to < 60,246.78
13,60 to < 70,280.69
13,70 to < 80,313.88
13,80 to < 90,347.08
13,90 to < 100,382.43
13,100 to < 150,492.84
13,150 to < 200,726.62
13,200 to < 250,805.99
13,250 to < 300,1129.99
13,300 to < 350,1151.63
14,1 to < 5,74.16
14,5 to < 10,88.06
14,10 to < 15,106.61
14,15 to < 20,129.78
14,20 to < 25,146
14,25 to < 30,163.01
14,30 to < 35,180.76
14,35 to < 40,197.77
14,40 to < 45,224.02
14,45 to < 50,242.57
14,50 to < 60,273.47
14,60 to < 70,311.32
14,70 to < 80,348.4
14,80 to < 90,383.93
14,90 to < 100,426.42
14,100 to < 150,531.49
14,150 to < 200,794.9
14,200 to < 250,967.95
14,250 to < 300,1241.42
14,300 to < 350,1294.72
15,1 to < 5,74.7
15,5 to < 10,90.39
15,10 to < 15,107.57
15,15 to < 20,132.98
15,20 to < 25,150.89
15,25 to < 30,169.58
15,30 to < 35,188.26
15,35 to < 40,205.44
15,40 to < 45,224.86
15,45 to < 50,242.04
15,50 to < 60,274.16
15,60 to < 70,310.01
15,70 to < 80,347.37
15,80 to < 90,383.98
15,90 to < 100,427.3
15,100 to < 150,554.3
15,150 to < 200,785.14
15,200 to < 250,990.57
15,250 to < 300,1231.12
15,300 to < 350,1428.34
16,1 to < 5,75.92
16,5 to < 10,93.45
16,10 to < 15,110.24
16,15 to < 20,135.07
16,20 to < 25,154.78
16,25 to < 30,174.47
16,30 to < 35,192.74
16,35 to < 40,213.17
16,40 to < 45,237.27
16,45 to < 50,255.52
16,50 to < 60,292.02
16,60 to < 70,329.99
16,70 to < 80,370.14
16,80 to < 90,408.83
16,90 to < 100,454.09
16,100 to < 150,589.89
16,150 to < 200,827.89
16,200 to < 250,1062.98
16,250 to < 300,1298.05
16,300 to < 350,1533.12
17,1 to < 5,80.1
17,5 to < 10,98.14
17,10 to < 15,115.46
