from_date,fin_network,division,branch_col,service_level,tarsrt,country,city,city2,from_postcode,thru_postcode,till_date,zone_code,remark,lookup,branch,zone
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,New Hawstead,,,,2098-01-01 00:00:00,X6ELS,,New Hawstead,ELS,6
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,New Hope,,,,2098-01-01 00:00:00,X2ELS,,New Hope,ELS,2
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,New Largo,,,,2098-01-01 00:00:00,X2WIT,,New Largo,WIT,2
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,New Machavie,,,,2098-01-01 00:00:00,X1KXE,,New Machavie,KXE,1
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,New Nkosana,,,,2098-01-01 00:00:00,X6ZCK,,New Nkosana,ZCK,6
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,New Park,,,,2098-01-01 00:00:00,X5RSB,,New Park,RSB,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,New Pieterburg,,,,2098-01-01 00:00:00,X1POL,,New Pieterburg,POL,1
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,New Rest,,,,2098-01-01 00:00:00,X4UTT,,New Rest,UTT,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,New Scotland,,,,2098-01-01 00:00:00,X5WIT,,New Scotland,WIT,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,New Sunnyside,,,,2098-01-01 00:00:00,X2GRJ,,New Sunnyside,GRJ,2
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Newark,,,,2098-01-01 00:00:00,X4DUR,,Newark,DUR,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Mahanyaneni,,,,2098-01-01 00:00:00,X7ZCK,,Mahanyaneni,ZCK,7
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Mahareng,,,,2098-01-01 00:00:00,X6ZCK,,Mahareng,ZCK,6
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Maheane,,,,2098-01-01 00:00:00,X7KIM,,Maheane,KIM,7
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Mahlaba,,,,2098-01-01 00:00:00,X4ZCK,,Mahlaba,ZCK,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Mahlabathini,,,,2098-01-01 00:00:00,X4EMG,,Mahlabathini,EMG,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Mahlake,,,,2098-01-01 00:00:00,X6UTT,,Mahlake,UTT,6
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Mahlangasi,,,,2098-01-01 00:00:00,X5EMG,,Mahlangasi,EMG,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Mahlangu,,,,2098-01-01 00:00:00,X5WIT,,Mahlangu,WIT,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Mahlathi,,,,2098-01-01 00:00:00,X5POL,,Mahlathi,POL,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Mahlatini,,,,2098-01-01 00:00:00,X6ELS,,Mahlatini,ELS,6
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Mahlatsani,,,,2098-01-01 00:00:00,X4POL,,Mahlatsani,POL,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Mahlengele,,,,2098-01-01 00:00:00,X6ELS,,Mahlengele,ELS,6
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Mahlole,,,,2098-01-01 00:00:00,X4POL,,Mahlole,POL,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Mahlowaneng,,,,2098-01-01 00:00:00,X3POL,,Mahlowaneng,POL,3
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Mahlubini,,,,2098-01-01 00:00:00,X6ELS,,Mahlubini,ELS,6
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Mahlungulu,,,,2098-01-01 00:00:00,X9BFN,,Mahlungulu,BFN,9
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Mahobe,,,,2098-01-01 00:00:00,X6UTT,,Mahobe,UTT,6
