orig_type,dest_type,type_lookup,sla_type,sla_type_code,route,tariff,c8,service,service_code,facility_type,route_band,route_type,lookup,sla_days,sla_text,c17,blns_service,blns_band,blns_code,blns_lookup,blns_sla,onx_lookup,onx_days,onx_sla
,,,,,KIM-CPT,6,,,,,,,,,,,,,,,,,,
,,,,,KIM-DUR,4,,,,,,,,,,,,,,,,,,
,,,,,KIM-ELS,6,,,,,,,,,,,,,,,,,,
,,,,,KIM-EMG,5,,,,,,,,,,,,,,,,,,
,,,,,KIM-GBE,5,,,,,,,,,,,,,,,,,,
,,,,,KIM-GRJ,7,,,,,,,,,,,,,,,,,,
,,,,,KIM-JNB,3,,,,,,,,,,,,,,,,,,
,,,,,KIM-KIM,1,,,,,,,,,,,,,,,,,,
,,,,,KIM-KPR,4,,,,,,,,,,,,,,,,,,
,,,,,KIM-MBE,5,,,,,,,,,,,,,,,,,,
,,,,,KIM-MSU,4,,,,,,,,,,,,,,,,,,
,,,,,KIM-MTS,5,,,,,,,,,,,,,,,,,,
,,,,,KIM-NCS,4,,,,,,,,,,,,,,,,,,
,,,,,KIM-NLP,4,,,,,,,,,,,,,,,,,,
,,,,,KIM-PLZ,6,,,,,,,,,,,,,,,,,,
,,,,,KIM-PTA,3,,,,,,,,,,,,,,,,,,
,,,,,KIM-PTG,4,,,,,,,,,,,,,,,,,,
,,,,,KIM-PZB,4,,,,,,,,,,,,,,,,,,
,,,,,KIM-VDB,4,,,,,,,,,,,,,,,,,,
,,,,,KIM-WDH,8,,,,,,,,,,,,,,,,,,
,,,,,KIM-WIR,4,,,,,,,,,,,,,,,,,,
,,,,,KPR-BFN,4,,,,,,,,,,,,,,,,,,
,,,,,KPR-CPT,6,,,,,,,,,,,,,,,,,,
,,,,,KPR-DUR,4,,,,,,,,,,,,,,,,,,
,,,,,KPR-ELS,7,,,,,,,,,,,,,,,,,,
,,,,,KPR-EMG,5,,,,,,,,,,,,,,,,,,
,,,,,KPR-GBE,5,,,,,,,,,,,,,,,,,,
,,,,,KPR-GRJ,7,,,,,,,,,,,,,,,,,,
,,,,,KPR-JNB,2,,,,,,,,,,,,,,,,,,
,,,,,KPR-KIM,4,,,,,,,,,,,,,,,,,,
,,,,,KPR-KPR,1,,,,,,,,,,,,,,,,,,
,,,,,KPR-MBE,5,,,,,,,,,,,,,,,,,,
,,,,,KPR-MSU,5,,,,,,,,,,,,,,,,,,
,,,,,KPR-MTS,5,,,,,,,,,,,,,,,,,,
,,,,,KPR-NCS,4,,,,,,,,,,,,,,,,,,
,,,,,KPR-NLP,4,,,,,,,,,,,,,,,,,,
,,,,,KPR-PLZ,7,,,,,,,,,,,,,,,,,,
,,,,,KPR-PTA,2,,,,,,,,,,,,,,,,,,
,,,,,KPR-PTG,4,,,,,,,,,,,,,,,,,,
,,,,,KPR-PZB,4,,,,,,,,,,,,,,,,,,
,,,,,KPR-VDB,4,,,,,,,,,,,,,,,,,,
,,,,,KPR-WDH,8,,,,,,,,,,,,,,,,,,
,,,,,KPR-WIR,3,,,,,,,,,,,,,,,,,,
,,,,,MBE-BFN,5,,,,,,,,,,,,,,,,,,
,,,,,MBE-CPT,6,,,,,,,,,,,,,,,,,,
,,,,,MBE-DUR,5,,,,,,,,,,,,,,,,,,
,,,,,MBE-ELS,7,,,,,,,,,,,,,,,,,,
,,,,,MBE-EMG,6,,,,,,,,,,,,,,,,,,
,,,,,MBE-GRJ,7,,,,,,,,,,,,,,,,,,
,,,,,MBE-JNB,4,,,,,,,,,,,,,,,,,,
,,,,,MBE-KIM,5,,,,,,,,,,,,,,,,,,
,,,,,MBE-KPR,5,,,,,,,,,,,,,,,,,,
,,,,,MBE-NCS,5,,,,,,,,,,,,,,,,,,
,,,,,MBE-NLP,2,,,,,,,,,,,,,,,,,,
,,,,,MBE-PLZ,7,,,,,,,,,,,,,,,,,,
,,,,,MBE-PTA,4,,,,,,,,,,,,,,,,,,
,,,,,MBE-PTG,5,,,,,,,,,,,,,,,,,,
,,,,,MBE-PZB,5,,,,,,,,,,,,,,,,,,
,,,,,MBE-VDB,5,,,,,,,,,,,,,,,,,,
,,,,,MBE-WIR,5,,,,,,,,,,,,,,,,,,
,,,,,MSU-BFN,1,,,,,,,,,,,,,,,,,,
,,,,,MSU-CPT,4,,,,,,,,,,,,,,,,,,
,,,,,MSU-DUR,4,,,,,,,,,,,,,,,,,,
,,,,,MSU-ELS,4,,,,,,,,,,,,,,,,,,
,,,,,MSU-EMG,5,,,,,,,,,,,,,,,,,,
,,,,,MSU-GRJ,6,,,,,,,,,,,,,,,,,,
,,,,,MSU-JNB,4,,,,,,,,,,,,,,,,,,
,,,,,MSU-KIM,4,,,,,,,,,,,,,,,,,,
,,,,,MSU-KPR,5,,,,,,,,,,,,,,,,,,
,,,,,MSU-NCS,5,,,,,,,,,,,,,,,,,,
,,,,,MSU-NLP,5,,,,,,,,,,,,,,,,,,
,,,,,MSU-PLZ,4,,,,,,,,,,,,,,,,,,
,,,,,MSU-PTA,4,,,,,,,,,,,,,,,,,,
,,,,,MSU-PTG,5,,,,,,,,,,,,,,,,,,
,,,,,MSU-PZB,4,,,,,,,,,,,,,,,,,,
,,,,,MSU-VDB,5,,,,,,,,,,,,,,,,,,
,,,,,MSU-WIR,5,,,,,,,,,,,,,,,,,,
,,,,,MTS-BFN,5,,,,,,,,,,,,,,,,,,
,,,,,MTS-CPT,6,,,,,,,,,,,,,,,,,,
,,,,,MTS-DUR,5,,,,,,,,,,,,,,,,,,
,,,,,MTS-ELS,7,,,,,,,,,,,,,,,,,,
,,,,,MTS-EMG,6,,,,,,,,,,,,,,,,,,
,,,,,MTS-GRJ,7,,,,,,,,,,,,,,,,,,
,,,,,MTS-JNB,4,,,,,,,,,,,,,,,,,,
,,,,,MTS-KIM,5,,,,,,,,,,,,,,,,,,
,,,,,MTS-KPR,5,,,,,,,,,,,,,,,,,,
,,,,,MTS-NCS,5,,,,,,,,,,,,,,,,,,
,,,,,MTS-NLP,2,,,,,,,,,,,,,,,,,,
,,,,,MTS-PLZ,7,,,,,,,,,,,,,,,,,,
,,,,,MTS-PTA,4,,,,,,,,,,,,,,,,,,
,,,,,MTS-PTG,5,,,,,,,,,,,,,,,,,,
,,,,,MTS-PZB,5,,,,,,,,,,,,,,,,,,
,,,,,MTS-VDB,5,,,,,,,,,,,,,,,,,,
,,,,,MTS-WIR,5,,,,,,,,,,,,,,,,,,
,,,,,NCS-BFN,4,,,,,,,,,,,,,,,,,,
,,,,,NCS-CPT,6,,,,,,,,,,,,,,,,,,
,,,,,NCS-DUR,2,,,,,,,,,,,,,,,,,,
,,,,,NCS-ELS,7,,,,,,,,,,,,,,,,,,
,,,,,NCS-EMG,3,,,,,,,,,,,,,,,,,,
,,,,,NCS-GBE,5,,,,,,,,,,,,,,,,,,
,,,,,NCS-GRJ,7,,,,,,,,,,,,,,,,,,
,,,,,NCS-JNB,3,,,,,,,,,,,,,,,,,,
,,,,,NCS-KIM,4,,,,,,,,,,,,,,,,,,
,,,,,NCS-KPR,4,,,,,,,,,,,,,,,,,,
,,,,,NCS-MBE,5,,,,,,,,,,,,,,,,,,
,,,,,NCS-MSU,5,,,,,,,,,,,,,,,,,,
,,,,,NCS-MTS,5,,,,,,,,,,,,,,,,,,
,,,,,NCS-NCS,1,,,,,,,,,,,,,,,,,,
,,,,,NCS-NLP,4,,,,,,,,,,,,,,,,,,
,,,,,NCS-PLZ,7,,,,,,,,,,,,,,,,,,
,,,,,NCS-PTA,3,,,,,,,,,,,,,,,,,,
,,,,,NCS-PTG,4,,,,,,,,,,,,,,,,,,
,,,,,NCS-PZB,3,,,,,,,,,,,,,,,,,,
,,,,,NCS-VDB,4,,,,,,,,,,,,,,,,,,
,,,,,NCS-WDH,8,,,,,,,,,,,,,,,,,,
,,,,,NCS-WIR,4,,,,,,,,,,,,,,,,,,
,,,,,NLP-BFN,4,,,,,,,,,,,,,,,,,,
,,,,,NLP-CPT,6,,,,,,,,,,,,,,,,,,
,,,,,NLP-DUR,4,,,,,,,,,,,,,,,,,,
,,,,,NLP-ELS,7,,,,,,,,,,,,,,,,,,
,,,,,NLP-EMG,5,,,,,,,,,,,,,,,,,,
,,,,,NLP-GBE,5,,,,,,,,,,,,,,,,,,
,,,,,NLP-GRJ,7,,,,,,,,,,,,,,,,,,
,,,,,NLP-JNB,3,,,,,,,,,,,,,,,,,,
,,,,,NLP-KIM,4,,,,,,,,,,,,,,,,,,
,,,,,NLP-KPR,4,,,,,,,,,,,,,,,,,,
,,,,,NLP-MBE,2,,,,,,,,,,,,,,,,,,
,,,,,NLP-MSU,5,,,,,,,,,,,,,,,,,,
,,,,,NLP-MTS,2,,,,,,,,,,,,,,,,,,
,,,,,NLP-NCS,4,,,,,,,,,,,,,,,,,,
,,,,,NLP-NLP,1,,,,,,,,,,,,,,,,,,
,,,,,NLP-PLZ,7,,,,,,,,,,,,,,,,,,
,,,,,NLP-PTA,3,,,,,,,,,,,,,,,,,,
,,,,,NLP-PTG,4,,,,,,,,,,,,,,,,,,
,,,,,NLP-PZB,4,,,,,,,,,,,,,,,,,,
,,,,,NLP-VDB,4,,,,,,,,,,,,,,,,,,
,,,,,NLP-WDH,8,,,,,,,,,,,,,,,,,,
,,,,,NLP-WIR,4,,,,,,,,,,,,,,,,,,
,,,,,PLZ-BFN,4,,,,,,,,,,,,,,,,,,
,,,,,PLZ-CPT,4,,,,,,,,,,,,,,,,,,
,,,,,PLZ-DUR,6,,,,,,,,,,,,,,,,,,
,,,,,PLZ-ELS,2,,,,,,,,,,,,,,,,,,
,,,,,PLZ-EMG,7,,,,,,,,,,,,,,,,,,
,,,,,PLZ-GBE,6,,,,,,,,,,,,,,,,,,
,,,,,PLZ-GRJ,2,,,,,,,,,,,,,,,,,,
,,,,,PLZ-JNB,6,,,,,,,,,,,,,,,,,,
,,,,,PLZ-KIM,6,,,,,,,,,,,,,,,,,,
,,,,,PLZ-KPR,7,,,,,,,,,,,,,,,,,,
,,,,,PLZ-MBE,7,,,,,,,,,,,,,,,,,,
,,,,,PLZ-MSU,4,,,,,,,,,,,,,,,,,,
,,,,,PLZ-MTS,7,,,,,,,,,,,,,,,,,,
,,,,,PLZ-NCS,7,,,,,,,,,,,,,,,,,,
,,,,,PLZ-NLP,7,,,,,,,,,,,,,,,,,,
,,,,,PLZ-PLZ,1,,,,,,,,,,,,,,,,,,
,,,,,PLZ-PTA,6,,,,,,,,,,,,,,,,,,
,,,,,PLZ-PTG,7,,,,,,,,,,,,,,,,,,
,,,,,PLZ-PZB,6,,,,,,,,,,,,,,,,,,
,,,,,PLZ-VDB,7,,,,,,,,,,,,,,,,,,
,,,,,PLZ-WDH,9,,,,,,,,,,,,,,,,,,
,,,,,PLZ-WIR,7,,,,,,,,,,,,,,,,,,
,,,,,PTA-BFN,3,,,,,,,,,,,,,,,,,,
,,,,,PTA-CPT,5,,,,,,,,,,,,,,,,,,
,,,,,PTA-DUR,2,,,,,,,,,,,,,,,,,,
,,,,,PTA-ELS,6,,,,,,,,,,,,,,,,,,
,,,,,PTA-EMG,3,,,,,,,,,,,,,,,,,,
,,,,,PTA-GBE,4,,,,,,,,,,,,,,,,,,
,,,,,PTA-GRJ,6,,,,,,,,,,,,,,,,,,
,,,,,PTA-JNB,1,,,,,,,,,,,,,,,,,,
,,,,,PTA-KIM,3,,,,,,,,,,,,,,,,,,
,,,,,PTA-KPR,2,,,,,,,,,,,,,,,,,,
,,,,,PTA-MBE,4,,,,,,,,,,,,,,,,,,
,,,,,PTA-MSU,4,,,,,,,,,,,,,,,,,,
,,,,,PTA-MTS,4,,,,,,,,,,,,,,,,,,
,,,,,PTA-NCS,3,,,,,,,,,,,,,,,,,,
,,,,,PTA-NLP,3,,,,,,,,,,,,,,,,,,
,,,,,PTA-PLZ,6,,,,,,,,,,,,,,,,,,
,,,,,PTA-PTA,1,,,,,,,,,,,,,,,,,,
,,,,,PTA-PTG,3,,,,,,,,,,,,,,,,,,
,,,,,PTA-PZB,2,,,,,,,,,,,,,,,,,,
,,,,,PTA-VDB,2,,,,,,,,,,,,,,,,,,
,,,,,PTA-WDH,7,,,,,,,,,,,,,,,,,,
,,,,,PTA-WIR,2,,,,,,,,,,,,,,,,,,
,,,,,PTG-BFN,4,,,,,,,,,,,,,,,,,,
,,,,,PTG-CPT,6,,,,,,,,,,,,,,,,,,
,,,,,PTG-DUR,4,,,,,,,,,,,,,,,,,,
,,,,,PTG-ELS,7,,,,,,,,,,,,,,,,,,
,,,,,PTG-EMG,4,,,,,,,,,,,,,,,,,,
,,,,,PTG-GBE,5,,,,,,,,,,,,,,,,,,
,,,,,PTG-GRJ,7,,,,,,,,,,,,,,,,,,
,,,,,PTG-JNB,3,,,,,,,,,,,,,,,,,,
,,,,,PTG-KIM,4,,,,,,,,,,,,,,,,,,
,,,,,PTG-KPR,4,,,,,,,,,,,,,,,,,,
,,,,,PTG-MBE,5,,,,,,,,,,,,,,,,,,
,,,,,PTG-MSU,5,,,,,,,,,,,,,,,,,,
,,,,,PTG-MTS,5,,,,,,,,,,,,,,,,,,
,,,,,PTG-NCS,4,,,,,,,,,,,,,,,,,,
,,,,,PTG-NLP,4,,,,,,,,,,,,,,,,,,
,,,,,PTG-PLZ,7,,,,,,,,,,,,,,,,,,
,,,,,PTG-PTA,3,,,,,,,,,,,,,,,,,,
,,,,,PTG-PTG,1,,,,,,,,,,,,,,,,,,
,,,,,PTG-PZB,4,,,,,,,,,,,,,,,,,,
,,,,,PTG-VDB,4,,,,,,,,,,,,,,,,,,
,,,,,PTG-WDH,8,,,,,,,,,,,,,,,,,,
,,,,,PTG-WIR,4,,,,,,,,,,,,,,,,,,
,,,,,PZB-BFN,3,,,,,,,,,,,,,,,,,,
,,,,,PZB-CPT,5,,,,,,,,,,,,,,,,,,
,,,,,PZB-DUR,1,,,,,,,,,,,,,,,,,,
,,,,,PZB-ELS,5,,,,,,,,,,,,,,,,,,
,,,,,PZB-EMG,3,,,,,,,,,,,,,,,,,,
,,,,,PZB-GBE,6,,,,,,,,,,,,,,,,,,
,,,,,PZB-GRJ,6,,,,,,,,,,,,,,,,,,
,,,,,PZB-JNB,2,,,,,,,,,,,,,,,,,,
,,,,,PZB-KIM,4,,,,,,,,,,,,,,,,,,
,,,,,PZB-KPR,4,,,,,,,,,,,,,,,,,,
,,,,,PZB-MBE,5,,,,,,,,,,,,,,,,,,
,,,,,PZB-MSU,4,,,,,,,,,,,,,,,,,,
,,,,,PZB-MTS,5,,,,,,,,,,,,,,,,,,
,,,,,PZB-NCS,3,,,,,,,,,,,,,,,,,,
,,,,,PZB-NLP,4,,,,,,,,,,,,,,,,,,
,,,,,PZB-PLZ,6,,,,,,,,,,,,,,,,,,
,,,,,PZB-PTA,2,,,,,,,,,,,,,,,,,,
,,,,,PZB-PTG,4,,,,,,,,,,,,,,,,,,
,,,,,PZB-PZB,1,,,,,,,,,,,,,,,,,,
,,,,,PZB-VDB,4,,,,,,,,,,,,,,,,,,
,,,,,PZB-WDH,9,,,,,,,,,,,,,,,,,,
,,,,,PZB-WIR,4,,,,,,,,,,,,,,,,,,
,,,,,VDB-BFN,4,,,,,,,,,,,,,,,,,,
,,,,,VDB-CPT,6,,,,,,,,,,,,,,,,,,
,,,,,VDB-DUR,4,,,,,,,,,,,,,,,,,,
,,,,,VDB-ELS,7,,,,,,,,,,,,,,,,,,
,,,,,VDB-EMG,5,,,,,,,,,,,,,,,,,,
,,,,,VDB-GBE,5,,,,,,,,,,,,,,,,,,
,,,,,VDB-GRJ,7,,,,,,,,,,,,,,,,,,
,,,,,VDB-JNB,2,,,,,,,,,,,,,,,,,,
,,,,,VDB-KIM,4,,,,,,,,,,,,,,,,,,
,,,,,VDB-KPR,4,,,,,,,,,,,,,,,,,,
,,,,,VDB-MBE,5,,,,,,,,,,,,,,,,,,
,,,,,VDB-MSU,5,,,,,,,,,,,,,,,,,,
,,,,,VDB-MTS,5,,,,,,,,,,,,,,,,,,
,,,,,VDB-NCS,4,,,,,,,,,,,,,,,,,,
,,,,,VDB-NLP,4,,,,,,,,,,,,,,,,,,
,,,,,VDB-PLZ,7,,,,,,,,,,,,,,,,,,
,,,,,VDB-PTA,2,,,,,,,,,,,,,,,,,,
,,,,,VDB-PTG,4,,,,,,,,,,,,,,,,,,
,,,,,VDB-PZB,4,,,,,,,,,,,,,,,,,,
,,,,,VDB-VDB,1,,,,,,,,,,,,,,,,,,
,,,,,VDB-WDH,9,,,,,,,,,,,,,,,,,,
,,,,,VDB-WIR,4,,,,,,,,,,,,,,,,,,
,,,,,WDH-BFN,8,,,,,,,,,,,,,,,,,,
,,,,,WDH-CPT,9,,,,,,,,,,,,,,,,,,
,,,,,WDH-DUR,9,,,,,,,,,,,,,,,,,,
,,,,,WDH-ELS,9,,,,,,,,,,,,,,,,,,
,,,,,WDH-EMG,9,,,,,,,,,,,,,,,,,,
,,,,,WDH-GRJ,9,,,,,,,,,,,,,,,,,,
,,,,,WDH-JNB,7,,,,,,,,,,,,,,,,,,
,,,,,WDH-KIM,8,,,,,,,,,,,,,,,,,,
,,,,,WDH-KPR,8,,,,,,,,,,,,,,,,,,
,,,,,WDH-NCS,8,,,,,,,,,,,,,,,,,,
,,,,,WDH-NLP,8,,,,,,,,,,,,,,,,,,
,,,,,WDH-PLZ,9,,,,,,,,,,,,,,,,,,
,,,,,WDH-PTA,7,,,,,,,,,,,,,,,,,,
,,,,,WDH-PTG,8,,,,,,,,,,,,,,,,,,
,,,,,WDH-PZB,9,,,,,,,,,,,,,,,,,,
,,,,,WDH-VDB,9,,,,,,,,,,,,,,,,,,
,,,,,WDH-WIR,8,,,,,,,,,,,,,,,,,,
,,,,,WIR-BFN,4,,,,,,,,,,,,,,,,,,
,,,,,WIR-CPT,6,,,,,,,,,,,,,,,,,,
,,,,,WIR-DUR,4,,,,,,,,,,,,,,,,,,
,,,,,WIR-ELS,7,,,,,,,,,,,,,,,,,,
,,,,,WIR-EMG,5,,,,,,,,,,,,,,,,,,
,,,,,WIR-GBE,5,,,,,,,,,,,,,,,,,,
,,,,,WIR-GRJ,7,,,,,,,,,,,,,,,,,,
,,,,,WIR-JNB,2,,,,,,,,,,,,,,,,,,
,,,,,WIR-KIM,4,,,,,,,,,,,,,,,,,,
,,,,,WIR-KPR,3,,,,,,,,,,,,,,,,,,
,,,,,WIR-MBE,5,,,,,,,,,,,,,,,,,,
,,,,,WIR-MSU,5,,,,,,,,,,,,,,,,,,
,,,,,WIR-MTS,5,,,,,,,,,,,,,,,,,,
,,,,,WIR-NCS,4,,,,,,,,,,,,,,,,,,
,,,,,WIR-NLP,4,,,,,,,,,,,,,,,,,,
,,,,,WIR-PLZ,7,,,,,,,,,,,,,,,,,,
,,,,,WIR-PTA,2,,,,,,,,,,,,,,,,,,
,,,,,WIR-PTG,4,,,,,,,,,,,,,,,,,,
,,,,,WIR-PZB,4,,,,,,,,,,,,,,,,,,
,,,,,WIR-VDB,4,,,,,,,,,,,,,,,,,,
,,,,,WIR-WDH,8,,,,,,,,,,,,,,,,,,
,,,,,WIR-WIR,1,,,,,,,,,,,,,,,,,,
