orig_type,dest_type,type_lookup,sla_type,sla_type_code,route,tariff,c8,service,service_code,facility_type,route_band,route_type,lookup,sla_days,sla_text,c17,blns_service,blns_band,blns_code,blns_lookup,blns_sla,onx_lookup,onx_days,onx_sla
Regional Bi-weekly,Outlying Bi-weekly,Regional Bi-weeklyOutlying Bi-weekly,Outlying Bi-weekly,O,CPT-BFN,5,,Economy,ECO,Outlying Adhoc,5,Outlying Adhoc,EconomyOutlying Adhoc5,6,6 days by 17h00,,Express,5,O,Express-O5,4 days by 17h00,ONX-O5,4,4 days by 17h00
Regional Bi-weekly,Outlying Adhoc,Regional Bi-weeklyOutlying Adhoc,Outlying Adhoc,O,CPT-CPT,1,,Economy,ECO,Outlying Adhoc,6,Outlying Adhoc,EconomyOutlying Adhoc6,6,6 days by 17h00,,Express,6,O,Express-O6,4 days by 17h00,ONX-O6,4,4 days by 17h00
Outlying Bi-weekly,HUB,Outlying Bi-weeklyHUB,Outlying Bi-weekly,O,CPT-DUR,5,,Economy,ECO,Outlying Adhoc,7,Outlying Adhoc,EconomyOutlying Adhoc7,6,6 days by 17h00,,Express,7,O,Express-O7,4 days by 17h00,ONX-O7,4,4 days by 17h00
Outlying Bi-weekly,Branch,Outlying Bi-weeklyBranch,Outlying Bi-weekly,O,CPT-ELS,5,,Economy,ECO,Outlying Adhoc,8,Outlying Adhoc,EconomyOutlying Adhoc8,7,7 days by 17h00,,Express,8,O,Express-O8,4 days by 17h00,ONX-O8,4,4 days by 17h00
Outlying Bi-weekly,Regional Daily,Outlying Bi-weeklyRegional Daily,Outlying Bi-weekly,O,CPT-EMG,6,,Economy,ECO,Outlying Adhoc,9,Outlying Adhoc,EconomyOutlying Adhoc9,7,7 days by 17h00,,Express,9,O,Express-O9,4 days by 17h00,ONX-O9,4,4 days by 17h00
Outlying Bi-weekly,Regional Bi-weekly,Outlying Bi-weeklyRegional Bi-weekly,Outlying Bi-weekly,O,CPT-GBE,7,,Economy,ECO,Outlying Bi-weekly,1,Outlying Bi-weekly,EconomyOutlying Bi-weekly1,3,3 days by 17h00,,Economy,1,B,Economy-B1,2 days by 17h00,ECO-M1,2,2 days by 17h00
Outlying Bi-weekly,Outlying Bi-weekly,Outlying Bi-weeklyOutlying Bi-weekly,Outlying Bi-weekly,O,CPT-GRJ,3,,Economy,ECO,Outlying Bi-weekly,2,Outlying Bi-weekly,EconomyOutlying Bi-weekly2,4,4 days by 17h00,,Economy,2,B,Economy-B2,2 days by 17h00,ECO-M2,2,2 days by 17h00
Outlying Bi-weekly,Outlying Adhoc,Outlying Bi-weeklyOutlying Adhoc,Outlying Adhoc,O,CPT-JNB,5,,Economy,ECO,Outlying Bi-weekly,3,Outlying Bi-weekly,EconomyOutlying Bi-weekly3,4,4 days by 17h00,,Economy,3,B,Economy-B3,2 days by 17h00,ECO-M3,2,2 days by 17h00
Outlying Adhoc,HUB,Outlying AdhocHUB,Outlying Adhoc,O,CPT-KIM,6,,Economy,ECO,Outlying Bi-weekly,4,Outlying Bi-weekly,EconomyOutlying Bi-weekly4,4,4 days by 17h00,,Economy,4,B,Economy-B4,3 days by 17h00,ECO-M4,3,3 days by 17h00
Outlying Adhoc,Branch,Outlying AdhocBranch,Outlying Adhoc,O,CPT-KPR,6,,Economy,ECO,Outlying Bi-weekly,5,Outlying Bi-weekly,EconomyOutlying Bi-weekly5,5,5 days by 17h00,,Economy,5,B,Economy-B5,3 days by 17h00,ECO-M5,3,3 days by 17h00
Outlying Adhoc,Regional Daily,Outlying AdhocRegional Daily,Outlying Adhoc,O,CPT-MBE,6,,Economy,ECO,Outlying Bi-weekly,6,Outlying Bi-weekly,EconomyOutlying Bi-weekly6,5,5 days by 17h00,,Economy,6,B,Economy-B6,4 days by 17h00,ECO-M6,4,4 days by 17h00
Outlying Adhoc,Regional Bi-weekly,Outlying AdhocRegional Bi-weekly,Outlying Adhoc,O,CPT-MSU,4,,Economy,ECO,Outlying Bi-weekly,7,Outlying Bi-weekly,EconomyOutlying Bi-weekly7,5,5 days by 17h00,,Economy,7,B,Economy-B7,5 days by 17h00,ECO-M7,5,5 days by 17h00
Outlying Adhoc,Outlying Bi-weekly,Outlying AdhocOutlying Bi-weekly,Outlying Adhoc,O,CPT-MTS,6,,Economy,ECO,Outlying Bi-weekly,8,Outlying Bi-weekly,EconomyOutlying Bi-weekly8,6,6 days by 17h00,,Economy,8,B,Economy-B8,5 days by 17h00,ECO-M8,5,5 days by 17h00
Outlying Adhoc,Outlying Adhoc,Outlying AdhocOutlying Adhoc,Outlying Adhoc,O,CPT-NCS,6,,Economy,ECO,Outlying Bi-weekly,9,Outlying Bi-weekly,EconomyOutlying Bi-weekly9,6,6 days by 17h00,,Economy,9,B,Economy-B9,5 days by 17h00,ECO-M9,5,5 days by 17h00
,,,,,CPT-NLP,6,,Economy,ECO,Regional Daily,1,Regional Daily,EconomyRegional Daily1,2,2 days by 17h00,,Economy,1,R,Economy-R1,2 days by 17h00,ECO-R1,2,2 days by 17h00
,,,,,CPT-PLZ,4,,Economy,ECO,Regional Daily,2,Regional Daily,EconomyRegional Daily2,2,2 days by 17h00,,Economy,2,R,Economy-R2,3 days by 17h00,ECO-R2,3,3 days by 17h00
,,,,,CPT-PTA,5,,Economy,ECO,Regional Daily,3,Regional Daily,EconomyRegional Daily3,2,2 days by 17h00,,Economy,3,R,Economy-R3,3 days by 17h00,ECO-R3,3,3 days by 17h00
,,,,,CPT-PTG,6,,Economy,ECO,Regional Daily,4,Regional Daily,EconomyRegional Daily4,3,3 days by 17h00,,Economy,4,R,Economy-R4,4 days by 17h00,ECO-R4,4,4 days by 17h00
