town_code,tariff_hub,ops_branch,town_name,province,town_type,town_type_abbr,remote_km,servicing_town,service_code,location,sla_facility,zone
ALT,KPR,KPR,ALETTASRUS,North West,Outlying,O,87,VRU,OR,LOC,Outlying Adhoc,7
AXB,CPT,UTN,ALEXANDER BAY,Northern Cape,Outlying,O,441,SPU,OR,LOC,Outlying Bi-weekly,10
ALX,PLZ,PLZ,ALEXANDRIA,Eastern Cape,Outlying,O,102,PAF,OR,LOC,Outlying Bi-weekly,3
ALC,ELS,ELS,ALICE,Eastern Cape,Outlying,O,121,KWT,OR,LOC,Outlying Bi-weekly,4
ALI,PLZ,PLZ,ALICEDALE,Eastern Cape,Outlying,O,102,GHO,OR,LOC,Outlying Adhoc,3
AWL,BFN,BFN,ALIWAL NORTH,Eastern Cape,Regional,R,NULL,BFN,RM,LOC,Regional Daily,6
ARD,KPR,BFN,ALLANRIDGE,Free State,Outlying,O,62,WEL,OR,LOC,Outlying Bi-weekly,5
ALL,PTG,PTG,ALLDAYS,Limpopo,Outlying,O,183,BOC,OR,LOC,Outlying Bi-weekly,5
ALA,KPR,BFN,ALMA (FS),Free State,Outlying,O,14,WEL,OR,LOC,Outlying Adhoc,5
ALM,PTA,JNB,ALMA (LP),Gauteng,Outlying,O,90,NSR,OR,LOC,Outlying Adhoc,5
APH,NCS,NCS,ALPHA,KwaZulu-Natal,Outlying,O,47,VYD,OR,LOC,Outlying Adhoc,4
AMA,ELS,ELS,AMABELE,Eastern Cape,Outlying,O,53,BIS,OR,LOC,Outlying Adhoc,3
AME,KPR,KPR,AMALIA,North West,Outlying,O,62,SRK,OR,LOC,Outlying Bi-weekly,5
AZT,DUR,DUR,AMANZIMTOTI,KwaZulu-Natal,Main (Suburb),S,NULL,DUR,SM,LOC,Hub,2
AMK,EMG,DUR,AMATIKULU,KwaZulu-Natal,Outlying,O,31,ISB,OR,LOC,Outlying Bi-weekly,4
AFT,NCS,NCS,AMERSFOORT,Mpumalanga,Outlying,O,83,VRR,OR,LOC,Outlying Bi-weekly,4
AMD,NCS,NCS,AMSTERDAM,Mpumalanga,Outlying,O,95,PFR,OR,LOC,Outlying Bi-weekly,5
ADK,PLZ,PLZ,ANDRIESKRAAL,Eastern Cape,Outlying,O,35,PTI,OR,LOC,Outlying Adhoc,4
ANN,PLZ,PLZ,ANNS VILLA,Eastern Cape,Outlying,O,108,ADO,OR,LOC,Outlying Adhoc,4
ANY,GRJ,CPT,ANYSBERG,Western Cape,Outlying,O,142,LAI,OR,LOC,Outlying Adhoc,6
ASS,NCS,NCS,ANYSSPRUIT,Mpumalanga,Outlying,O,50,PFR,OR,LOC,Outlying Adhoc,4
ARB,WIR,WIR,ARBOR PARK,KwaZulu-Natal,Outlying,O,55,DMS,OR,LOC,Outlying Adhoc,2
ARG,WIR,WIR,ARGENT,Mpumalanga,Outlying,O,39,DMS,OR,LOC,Outlying Adhoc,2
