suburb,col2,col3,col4,town_code
PRETORIA,0001,1,M,PTA
TSHWANE,0001,1,M,PTA
BEREA PARK,0002,2,M,PTA
CENTRAL,0002,2,M,PTA
CLYDESDALE,0002,2,M,PTA
DEFENCE FORCE AREA,0002,2,M,PTA
GEVANGENISTERREIN,0002,2,M,PTA
GOEDEHOOP,0002,2,M,PTA
MARABASTAD,0002,2,M,PTA
MUCKLENEUK,0002,2,M,PTA
PRETORIA,0002,2,M,PTA
PRETORIA EXT 14,0002,2,M,PTA
PRETORIA EXT 15,0002,2,M,PTA
PRETORIA EXT 9,0002,2,M,PTA
PRINCE'S PARK,0002,2,M,PTA
PRISON AREA,0002,2,M,PTA
RAILWAY RESERVE,0002,2,M,PTA
RIVERDAL,0002,2,M,PTA
RIVERDALE,0002,2,M,PTA
RIVERSDALE,0002,2,M,PTA
SALVOKOP,0002,2,M,PTA
SENTRAAL,0002,2,M,PTA
SKANSKOP,0002,2,M,PTA
SPOORWEGTERREIN,0002,2,M,PTA
SUNNYSIDE,0002,2,M,PTA
TREVENNA,0002,2,M,PTA
TSHWANE,0002,2,M,PTA
VERDEDIGINGSTERREIN,0002,2,M,PTA
ZWAVELDSPOORT,0002,2,M,PTA
UNISA,0003,3,M,PTA
PRETORIA CITY COUNCIL,0004,4,M,PTA
PRETORIA STADSRAAD,0004,4,M,PTA
STADSRAAD VAN PRETORIA,0004,4,M,PTA
ALKANTRANT,0005,5,M,PTA
ATTERIDGEVILLE,0006,6,M,PTA
SAULSVILLE EXT 6,0006,6,M,PTA
SAULSVILLE UIT 6,0006,6,M,PTA
ARCADIA,0007,7,M,PTA
ATTERIDGEVILLE,0008,8,M,PTA
ATTERIDGEVILLE EXT 16,0008,8,M,PTA
ATTERIDGEVILLE EXT 17,0008,8,M,PTA
ATTERIDGEVILLE EXT 18,0008,8,M,PTA
ATTERIDGEVILLE EXT 2,0008,8,M,PTA
ATTERIDGEVILLE EXT 25,0008,8,M,PTA
ATTERIDGEVILLE EXT 26,0008,8,M,PTA
ATTERIDGEVILLE EXT 27,0008,8,M,PTA
ATTERIDGEVILLE EXT 28,0008,8,M,PTA
ATTERIDGEVILLE EXT 29,0008,8,M,PTA
ATTERIDGEVILLE EXT 3,0008,8,M,PTA
ATTERIDGEVILLE EXT 30,0008,8,M,PTA
ATTERIDGEVILLE EXT 31,0008,8,M,PTA
ATTERIDGEVILLE EXT 32,0008,8,M,PTA
ATTERIDGEVILLE EXT 33,0008,8,M,PTA
ATTERIDGEVILLE EXT 35,0008,8,M,PTA
ATTERIDGEVILLE EXT 39,0008,8,M,PTA
ATTERIDGEVILLE EXT 4,0008,8,M,PTA
ATTERIDGEVILLE EXT 40,0008,8,M,PTA
ATTERIDGEVILLE EXT 5,0008,8,M,PTA
ATTERIDGEVILLE EXT 6,0008,8,M,PTA
ATTERIDGEVILLE EXT 7,0008,8,M,PTA
ATTERIDGEVILLE UIT 16,0008,8,M,PTA
ATTERIDGEVILLE UIT 17,0008,8,M,PTA
ATTERIDGEVILLE UIT 18,0008,8,M,PTA
ATTERIDGEVILLE UIT 2,0008,8,M,PTA
ATTERIDGEVILLE UIT 3,0008,8,M,PTA
ATTERIDGEVILLE UIT 4,0008,8,M,PTA
ATTERIDGEVILLE UIT 6,0008,8,M,PTA
ATTERIDGEVILLE UIT 7,0008,8,M,PTA
ATTERIDGEVILLE WEST EXT 6,0008,8,M,PTA
ATTERIDGEVILLE-WES UIT 6,0008,8,M,PTA
CONCERN,0008,8,M,PTA
KALAFONG HEIGHTS,0008,8,M,PTA
KALAFONG HOOGTE,0008,8,M,PTA
KWAGGASTRANT,0008,8,M,PTA
LOTUS GARDEN,0008,8,M,PTA
LOTUS GARDENS,0008,8,M,PTA
LOTUS GARDENS EXT 11,0008,8,M,PTA
LOTUS GARDENS EXT 12,0008,8,M,PTA
LOTUS GARDENS EXT 2,0008,8,M,PTA
LOTUS GARDENS EXT 3,0008,8,M,PTA
LOTUS GARDENS EXT 4,0008,8,M,PTA
LOTUS GARDENS EXT 5,0008,8,M,PTA
LOTUS TUIN,0008,8,M,PTA
LOTUS TUINE,0008,8,M,PTA
LOTUS TUINE UIT 2,0008,8,M,PTA
LOTUS TUINE UIT 3,0008,8,M,PTA
MATAMELA,0008,8,M,PTA
MOFOKENG,0008,8,M,PTA
PHOMOLONG,0008,8,M,PTA
SAULSVILLE EXT 3,0008,8,M,PTA
SAULSVILLE UIT 3,0008,8,M,PTA
BON ACCORD,0009,9,M,PTA
CONSTANTIA PARK,0010,10,M,PTA
CONSTANTIAPARK,0010,10,M,PTA
GLENSTANTIA,0010,10,M,PTA
WATERKLOOF GLEN,0010,10,M,PTA
WATERKLOOF GLEN EXT 2,0010,10,M,PTA
WATERKLOOF GLEN EXT 3,0010,10,M,PTA
WATERKLOOF GLEN EXT 4,0010,10,M,PTA
WATERKLOOF GLEN EXT 5,0010,10,M,PTA
WATERKLOOF GLEN EXT 6,0010,10,M,PTA
WATERKLOOF GLEN UIT 2,0010,10,M,PTA
WATERKLOOF GLEN UIT 3,0010,10,M,PTA
WATERKLOOF GLEN UIT 4,0010,10,M,PTA
WATERKLOOF GLEN UIT 5,0010,10,M,PTA
WATERKLOOF GLEN UIT 6,0010,10,M,PTA
BROOKLYN,0011,11,M,PTA
TELKOM PLACE,0012,12,M,PTA
CLUBVIEW,0014,14,M,PTA
SAVANNA PARK,0014,14,M,PTA
SAVANNAH PARK,0014,14,M,PTA
SIMARLO,0014,14,M,PTA
COR DELFOS,0016,16,M,PTA
DOORNPARK,0017,17,M,PTA
DOORNPOORT,0017,17,M,PTA
DOORNPOORT EXT 1,0017,17,M,PTA
DOORNPOORT EXT 2,0017,17,M,PTA
DOORNPOORT EXT 29,0017,17,M,PTA
DOORNPOORT EXT 30,0017,17,M,PTA
DOORNPOORT EXT 31,0017,17,M,PTA
DOORNPOORT EXT 32,0017,17,M,PTA
DOORNPOORT EXT 33,0017,17,M,PTA
DOORNPOORT EXT 34,0017,17,M,PTA
DOORNPOORT EXT 4,0017,17,M,PTA
DOORNPOORT EXT 40,0017,17,M,PTA
DOORNPOORT EXT 41,0017,17,M,PTA
DOORNPOORT EXT 6,0017,17,M,PTA
DOORNPOORT UIT 1,0017,17,M,PTA
DOORNPOORT UIT 2,0017,17,M,PTA
DOORNPOORT UIT 29,0017,17,M,PTA
DOORNPOORT UIT 30,0017,17,M,PTA
DOORNPOORT UIT 31,0017,17,M,PTA
DOORNPOORT UIT 32,0017,17,M,PTA
DOORNPOORT UIT 33,0017,17,M,PTA
DOORNPOORT UIT 34,0017,17,M,PTA
DOORNPOORT UIT 4,0017,17,M,PTA
DOORNPOORT UIT 40,0017,17,M,PTA
DOORNPOORT UIT 41,0017,17,M,PTA
DOORNPOORT UIT 6,0017,17,M,PTA
DANVILLE,0018,18,M,PTA
DANVILLE EXT 9,0018,18,M,PTA
DANVILLE UIT 9,0018,18,M,PTA
DASPOORT,0019,19,M,PTA
PERSEQUOR PARK,0020,20,M,PTA
EERSTERUS,0021,21,M,PTA
EERSTERUS,0022,22,M,PTA
EERSTERUS EXT 4,0022,22,M,PTA
EERSTERUS EXT 5,0022,22,M,PTA
EERSTERUS EXT 6,0022,22,M,PTA
EERSTERUS UIT 4,0022,22,M,PTA
EERSTERUS UIT 5,0022,22,M,PTA
EERSTERUS UIT 6,0022,22,M,PTA
EERSTERUST,0022,22,M,PTA
EERSTERUST EXT 2,0022,22,M,PTA
EERSTERUST EXT 3,0022,22,M,PTA
EERSTERUST EXT 4,0022,22,M,PTA
EERSTERUST EXT 5,0022,22,M,PTA
EERSTERUST EXT 6,0022,22,M,PTA
EERSTERUST OUTLYING,0022,22,M,PTA
ERASMIA,0023,23,M,PTA
FOURIESRUS,0024,24,M,PTA
LOTUS GARDEN,0025,25,M,PTA
LOTUS GARDENS,0025,25,M,PTA
LOTUS GARDENS EXT 3,0025,25,M,PTA
LOTUS TUIN,0025,25,M,PTA
LOTUS TUINE,0025,25,M,PTA
LOTUS TUINE UIT 3,0025,25,M,PTA
LAEZONIA,0026,26,M,PTA
GROENKLOOF,0027,27,M,PTA
HATFIELD,0028,28,M,PTA
PHILIP NEL PARK,0029,29,M,PTA
PHILIP NEL PARK EXT 5,0029,29,M,PTA
PHILIP NEL PARK UIT 5,0029,29,M,PTA
HERCULES,0030,30,M,PTA
GEZINA,0031,31,M,PTA
ELANDSPOORT,0032,32,M,PTA
WONDERBOOM POORT,0033,33,M,PTA
DERDEPARK,0035,35,M,PTA
DERDEPOORTPARK,0035,35,M,PTA
EAST LYNNE,0035,35,M,PTA
KAMEELDRIF EAST,0035,35,M,PTA
KAMEELDRIF-OOS,0035,35,M,PTA
KNOPPIESLAAGTE,0035,35,M,PTA
SWAVELPOORT,0036,36,M,PTA
ZWAVELPOORT,0036,36,M,PTA
CLAUDIUS,0037,37,S,CNT
LAUDIUM,0037,37,S,CNT
LAUDIUM EXT 1,0037,37,S,CNT
LAUDIUM EXT 2,0037,37,S,CNT
LAUDIUM EXT 3,0037,37,S,CNT
LAUDIUM EXT 4,0037,37,S,CNT
LAUDIUM UIT 1,0037,37,S,CNT
LAUDIUM UIT 2,0037,37,S,CNT
LAUDIUM UIT 3,0037,37,S,CNT
BAVIAANSPOORT,0039,39,M,PTA
LINDO PARK EXT 1,0039,39,M,PTA
LINDOPARK UIT 1,0039,39,M,PTA
LYNN EAST,0039,39,M,PTA
LYNN-OOS,0039,39,M,PTA
LYNNWOOD,0040,40,M,PTA
LYNNWOOD RIDGE,0040,40,M,PTA
LYNNWOODRIF,0040,40,M,PTA
DIE WILGERS,0041,41,M,PTA
DIE WILGERS UIT 1,0041,41,M,PTA
DIE WILGERS UIT 13,0041,41,M,PTA
DIE WILGERS UIT 15,0041,41,M,PTA
DIE WILGERS UIT 17,0041,41,M,PTA
DIE WILGERS UIT 28,0041,41,M,PTA
DIE WILGERS UIT 5,0041,41,M,PTA
DIE WILGERS UIT 51,0041,41,M,PTA
DIE WILGERS UIT 9,0041,41,M,PTA
THE WILLOWS,0041,41,M,PTA
THE WILLOWS EXT 1,0041,41,M,PTA
THE WILLOWS EXT 13,0041,41,M,PTA
THE WILLOWS EXT 15,0041,41,M,PTA
THE WILLOWS EXT 17,0041,41,M,PTA
THE WILLOWS EXT 28,0041,41,M,PTA
THE WILLOWS EXT 5,0041,41,M,PTA
THE WILLOWS EXT 51,0041,41,M,PTA
THE WILLOWS EXT 9,0041,41,M,PTA
WILLOW GLEN,0041,41,M,PTA
WILLOW WAY,0041,41,M,PTA
GARSFONTEIN,0042,42,M,PTA
GARSFONTEIN EXT 1,0042,42,M,PTA
GARSFONTEIN EXT 10,0042,42,M,PTA
GARSFONTEIN EXT 11,0042,42,M,PTA
GARSFONTEIN EXT 12,0042,42,M,PTA
GARSFONTEIN EXT 13,0042,42,M,PTA
GARSFONTEIN EXT 14,0042,42,M,PTA
GARSFONTEIN EXT 15,0042,42,M,PTA
GARSFONTEIN EXT 16,0042,42,M,PTA
GARSFONTEIN EXT 17,0042,42,M,PTA
GARSFONTEIN EXT 2,0042,42,M,PTA
GARSFONTEIN EXT 3,0042,42,M,PTA
GARSFONTEIN EXT 4,0042,42,M,PTA
GARSFONTEIN EXT 5,0042,42,M,PTA
GARSFONTEIN EXT 6,0042,42,M,PTA
GARSFONTEIN EXT 7,0042,42,M,PTA
GARSFONTEIN EXT 8,0042,42,M,PTA
GARSFONTEIN EXT 9,0042,42,M,PTA
GARSFONTEIN UIT 1,0042,42,M,PTA
GARSFONTEIN UIT 10,0042,42,M,PTA
GARSFONTEIN UIT 11,0042,42,M,PTA
GARSFONTEIN UIT 12,0042,42,M,PTA
GARSFONTEIN UIT 13,0042,42,M,PTA
GARSFONTEIN UIT 14,0042,42,M,PTA
GARSFONTEIN UIT 15,0042,42,M,PTA
GARSFONTEIN UIT 16,0042,42,M,PTA
GARSFONTEIN UIT 17,0042,42,M,PTA
GARSFONTEIN UIT 2,0042,42,M,PTA
GARSFONTEIN UIT 3,0042,42,M,PTA
GARSFONTEIN UIT 4,0042,42,M,PTA
GARSFONTEIN UIT 5,0042,42,M,PTA
GARSFONTEIN UIT 6,0042,42,M,PTA
GARSFONTEIN UIT 7,0042,42,M,PTA
GARSFONTEIN UIT 8,0042,42,M,PTA
GARSFONTEIN UIT 9,0042,42,M,PTA
GARSFONTEIN WEST,0042,42,M,PTA
GARSFONTEIN-WES,0042,42,M,PTA
PRETORIUSPARK,0042,42,M,PTA
BRONBERG,0043,43,M,PTA
FAERIE GLEN,0043,43,M,PTA
FAERIE GLEN EXT 1,0043,43,M,PTA
FAERIE GLEN EXT 2,0043,43,M,PTA
FAERIE GLEN EXT 24,0043,43,M,PTA
FAERIE GLEN EXT 28,0043,43,M,PTA
FAERIE GLEN EXT 3,0043,43,M,PTA
FAERIE GLEN EXT 32,0043,43,M,PTA
FAERIE GLEN EXT 34,0043,43,M,PTA
FAERIE GLEN EXT 36,0043,43,M,PTA
FAERIE GLEN EXT 37,0043,43,M,PTA
FAERIE GLEN EXT 4,0043,43,M,PTA
FAERIE GLEN EXT 48,0043,43,M,PTA
FAERIE GLEN EXT 6,0043,43,M,PTA
FAERIE GLEN EXT 7,0043,43,M,PTA
FAERIE GLEN EXT 70,0043,43,M,PTA
FAERIE GLEN EXT 71,0043,43,M,PTA
FAERIE GLEN EXT 8,0043,43,M,PTA
FAERIE GLEN EXT 9,0043,43,M,PTA
FAERIE GLEN UIT 1,0043,43,M,PTA
FAERIE GLEN UIT 2,0043,43,M,PTA
FAERIE GLEN UIT 24,0043,43,M,PTA
FAERIE GLEN UIT 28,0043,43,M,PTA
FAERIE GLEN UIT 3,0043,43,M,PTA
FAERIE GLEN UIT 32,0043,43,M,PTA
FAERIE GLEN UIT 34,0043,43,M,PTA
FAERIE GLEN UIT 36,0043,43,M,PTA
FAERIE GLEN UIT 37,0043,43,M,PTA
FAERIE GLEN UIT 4,0043,43,M,PTA
FAERIE GLEN UIT 48,0043,43,M,PTA
FAERIE GLEN UIT 6,0043,43,M,PTA
FAERIE GLEN UIT 7,0043,43,M,PTA
FAERIE GLEN UIT 70,0043,43,M,PTA
FAERIE GLEN UIT 71,0043,43,M,PTA
FAERIE GLEN UIT 8,0043,43,M,PTA
FAERIE GLEN UIT 9,0043,43,M,PTA
FAIRVIEW,0043,43,M,PTA
MORELETA RIDGE,0044,44,M,PTA
MORELETAPARK,0044,44,M,PTA
MORELETAPARK EXT 1,0044,44,M,PTA
MORELETAPARK EXT 17,0044,44,M,PTA
MORELETAPARK EXT 19,0044,44,M,PTA
MORELETAPARK EXT 2,0044,44,M,PTA
MORELETAPARK EXT 20,0044,44,M,PTA
MORELETAPARK EXT 21,0044,44,M,PTA
MORELETAPARK EXT 24,0044,44,M,PTA
MORELETAPARK EXT 27,0044,44,M,PTA
MORELETAPARK EXT 30,0044,44,M,PTA
MORELETAPARK EXT 4,0044,44,M,PTA
MORELETAPARK EXT 41,0044,44,M,PTA
MORELETAPARK EXT 42,0044,44,M,PTA
MORELETAPARK EXT 49,0044,44,M,PTA
MORELETAPARK EXT 50,0044,44,M,PTA
MORELETAPARK EXT 63,0044,44,M,PTA
MORELETAPARK EXT 64,0044,44,M,PTA
MORELETAPARK EXT 9,0044,44,M,PTA
MORELETAPARK UIT 1,0044,44,M,PTA
MORELETAPARK UIT 17,0044,44,M,PTA
MORELETAPARK UIT 19,0044,44,M,PTA
MORELETAPARK UIT 2,0044,44,M,PTA
MORELETAPARK UIT 20,0044,44,M,PTA
MORELETAPARK UIT 21,0044,44,M,PTA
MORELETAPARK UIT 24,0044,44,M,PTA
MORELETAPARK UIT 27,0044,44,M,PTA
MORELETAPARK UIT 30,0044,44,M,PTA
MORELETAPARK UIT 4,0044,44,M,PTA
MORELETAPARK UIT 41,0044,44,M,PTA
MORELETAPARK UIT 42,0044,44,M,PTA
MORELETAPARK UIT 49,0044,44,M,PTA
MORELETAPARK UIT 50,0044,44,M,PTA
MORELETAPARK UIT 63,0044,44,M,PTA
MORELETAPARK UIT 64,0044,44,M,PTA
MORELETAPARK UIT 9,0044,44,M,PTA
MORELETARIF,0044,44,M,PTA
MORELETTAPARK,0044,44,M,PTA
PIERRE VAN RYNEVELD,0045,45,M,PTA
PIERRE VAN RYNEVELDPARK,0045,45,M,PTA
CENTURION,0046,46,M,PTA
CENTURION COUNTRY CLUB,0046,46,M,PTA
ZWARTKOP EXT 4,0046,46,M,PTA
ZWARTKOP UIT 4,0046,46,M,PTA
ELARDUSPARK,0047,47,M,PTA
ELARDUSPARK EXT 26,0047,47,M,PTA
ELARDUSPARK UIT 26,0047,47,M,PTA
ERASMUSKLOOF,0048,48,M,PTA
ERASMUSKLOOF EXT 2,0048,48,M,PTA
ERASMUSKLOOF EXT 3,0048,48,M,PTA
ERASMUSKLOOF EXT 4,0048,48,M,PTA
ERASMUSKLOOF UIT 2,0048,48,M,PTA
ERASMUSKLOOF UIT 3,0048,48,M,PTA
ERASMUSKLOOF UIT 4,0048,48,M,PTA
NEWLANDS,0049,49,M,PTA
NEWLANDS EXT 1,0049,49,M,PTA
NEWLANDS EXT 2,0049,49,M,PTA
NEWLANDS EXT 9,0049,49,M,PTA
NEWLANDS UIT 1,0049,49,M,PTA
NEWLANDS UIT 2,0049,49,M,PTA
NEWLANDS UIT 9,0049,49,M,PTA
WAPADRAND,0050,50,M,PTA
WAPADRAND EXT 1,0050,50,M,PTA
WAPADRAND EXT 3,0050,50,M,PTA
WAPADRAND EXT 6,0050,50,M,PTA
WAPADRAND UIT 1,0050,50,M,PTA
WAPADRAND UIT 3,0050,50,M,PTA
WAPADRAND UIT 6,0050,50,M,PTA
SWARTKOP EXT 8,0051,51,M,PTA
SWARTKOP UIT 8,0051,51,M,PTA
ZWARTKOP,0051,51,M,PTA
ZWARTKOP EXT 7,0051,51,M,PTA
ZWARTKOP EXT 8,0051,51,M,PTA
ZWARTKOP UIT 7,0051,51,M,PTA
ZWARTKOP UIT 8,0051,51,M,PTA
ZWARTKOPS,0051,51,M,PTA
UIF,0052,52,M,PTA
WVF,0052,52,M,PTA
ONTVANGER VAN INKOMSTE,0053,53,M,PTA
RECEIVER OF REVENUE,0053,53,M,PTA
SILVER LAKES,0054,54,M,PTA
SILVER LAKES EXT 1,0054,54,M,PTA
SILVER LAKES EXT 2,0054,54,M,PTA
SILVER LAKES EXT 3,0054,54,M,PTA
SILVER LAKES EXT 4,0054,54,M,PTA
SILVER LAKES UIT 1,0054,54,M,PTA
SILVER LAKES UIT 2,0054,54,M,PTA
SILVER LAKES UIT 3,0054,54,M,PTA
SILVER LAKES UIT 4,0054,54,M,PTA
SUIDERBERG,0055,55,M,PTA
TIEGERPOORT,0056,56,M,PTA
WIERDAPARK SOUTH,0057,57,M,PTA
WIERDAPARK SUID,0057,57,M,PTA
WIERDAPARK-SUID,0057,57,M,PTA
QUAGGA,0058,58,M,PTA
MOOIKLOOF,0059,59,M,PTA
MOOIKLOOF RIDGE,0059,59,M,PTA
MOOIKLOOFRIF,0059,59,M,PTA
GARSFONTEIN EAST,0060,60,M,PTA
GARSFONTEIN-OOS,0060,60,M,PTA
THE REEDS,0061,61,M,PTA
THE REEDS EXT 45,0061,61,M,PTA
THE REEDS UIT 45,0061,61,M,PTA
IRENE,0062,62,M,PTA
MENLYN,0063,63,M,PTA
POST POINT MENLYN,0063,63,M,PTA
MAHUBE VALLEI,0064,64,M,PTA
MAHUBE VALLEY,0064,64,M,PTA
WATERKLOOF HEIGHTS,0065,65,M,PTA
WATERKLOOFHOOGTE,0065,65,M,PTA
ANNLIN,0066,66,M,PTA
ANNLIN EXT 34,0066,66,M,PTA
ANNLIN UIT 34,0066,66,M,PTA
HIGHVELD PARK,0067,67,M,PTA
HOEVELDPARK,0067,67,M,PTA
KAMEELDRIF WEST,0068,68,M,PTA
KAMEELDRIF-WES,0068,68,M,PTA
KWAGGASRAND,0070,70,M,PTA
PRETORIA SHOW,0071,71,M,PTA
WOODLANDS,0072,72,M,PTA
POST OFFICE STAMP OF FORTUNE COMPETITION,0073,73,M,PTA
CORPORATE,0074,74,M,PTA
CORPORATE POST OFFICE,0074,74,M,PTA
BROOKLYN SQUARE,0075,75,M,PTA
WOODHILL,0076,76,M,PTA
MENLYN CENTRAL,0077,77,M,PTA
PRETORIA SOUTH,0078,78,M,PTA
PRETORIA-SUID,0078,78,M,PTA
TSHWANE SOUTH,0078,78,M,PTA
TSHWANE-SUID,0078,78,M,PTA
E-FREEDOM SAVE,0079,79,M,PTA
BLOED STRAAT WINKELSENTRUM,0080,80,M,PTA
BLOED STREET MALL,0080,80,M,PTA
FLEXI FREEDOM SILVER,0080,80,M,PTA
ALKANTRANT,0081,81,M,PTA
ALPHEN PARK,0081,81,M,PTA
ALPHENPARK,0081,81,M,PTA
ASHLEA GARDENS,0081,81,M,PTA
ASHLEA GARDENS EXT 2,0081,81,M,PTA
BOARDWALK VILLAS,0081,81,M,PTA
BRONBERG,0081,81,M,PTA
BRONBERG EXT 1,0081,81,M,PTA
EQUESTRIA EXT 111,0081,81,M,PTA
EQUESTRIA UIT 111,0081,81,M,PTA
FAERIE GLEN,0081,81,M,PTA
FAERIE GLEN EXT 1,0081,81,M,PTA
FAERIE GLEN EXT 10,0081,81,M,PTA
FAERIE GLEN EXT 11,0081,81,M,PTA
FAERIE GLEN EXT 15,0081,81,M,PTA
FAERIE GLEN EXT 17,0081,81,M,PTA
FAERIE GLEN EXT 18,0081,81,M,PTA
FAERIE GLEN EXT 2,0081,81,M,PTA
FAERIE GLEN EXT 22,0081,81,M,PTA
FAERIE GLEN EXT 24,0081,81,M,PTA
FAERIE GLEN EXT 25,0081,81,M,PTA
FAERIE GLEN EXT 26,0081,81,M,PTA
FAERIE GLEN EXT 27,0081,81,M,PTA
FAERIE GLEN EXT 28,0081,81,M,PTA
FAERIE GLEN EXT 3,0081,81,M,PTA
FAERIE GLEN EXT 31,0081,81,M,PTA
FAERIE GLEN EXT 32,0081,81,M,PTA
FAERIE GLEN EXT 33,0081,81,M,PTA
FAERIE GLEN EXT 34,0081,81,M,PTA
FAERIE GLEN EXT 36,0081,81,M,PTA
FAERIE GLEN EXT 37,0081,81,M,PTA
FAERIE GLEN EXT 38,0081,81,M,PTA
FAERIE GLEN EXT 39,0081,81,M,PTA
FAERIE GLEN EXT 4,0081,81,M,PTA
FAERIE GLEN EXT 40,0081,81,M,PTA
FAERIE GLEN EXT 41,0081,81,M,PTA
FAERIE GLEN EXT 44,0081,81,M,PTA
FAERIE GLEN EXT 45,0081,81,M,PTA
FAERIE GLEN EXT 46,0081,81,M,PTA
FAERIE GLEN EXT 47,0081,81,M,PTA
FAERIE GLEN EXT 48,0081,81,M,PTA
FAERIE GLEN EXT 49,0081,81,M,PTA
FAERIE GLEN EXT 50,0081,81,M,PTA
FAERIE GLEN EXT 51,0081,81,M,PTA
FAERIE GLEN EXT 52,0081,81,M,PTA
FAERIE GLEN EXT 55,0081,81,M,PTA
FAERIE GLEN EXT 56,0081,81,M,PTA
FAERIE GLEN EXT 57,0081,81,M,PTA
FAERIE GLEN EXT 59,0081,81,M,PTA
FAERIE GLEN EXT 6,0081,81,M,PTA
FAERIE GLEN EXT 61,0081,81,M,PTA
FAERIE GLEN EXT 62,0081,81,M,PTA
FAERIE GLEN EXT 63,0081,81,M,PTA
FAERIE GLEN EXT 64,0081,81,M,PTA
FAERIE GLEN EXT 65,0081,81,M,PTA
FAERIE GLEN EXT 66,0081,81,M,PTA
FAERIE GLEN EXT 67,0081,81,M,PTA
FAERIE GLEN EXT 68,0081,81,M,PTA
FAERIE GLEN EXT 69,0081,81,M,PTA
FAERIE GLEN EXT 7,0081,81,M,PTA
FAERIE GLEN EXT 70,0081,81,M,PTA
FAERIE GLEN EXT 71,0081,81,M,PTA
FAERIE GLEN EXT 72,0081,81,M,PTA
FAERIE GLEN EXT 73,0081,81,M,PTA
FAERIE GLEN EXT 75,0081,81,M,PTA
FAERIE GLEN EXT 76,0081,81,M,PTA
FAERIE GLEN EXT 77,0081,81,M,PTA
FAERIE GLEN EXT 78,0081,81,M,PTA
FAERIE GLEN EXT 8,0081,81,M,PTA
FAERIE GLEN EXT 80,0081,81,M,PTA
FAERIE GLEN EXT 9,0081,81,M,PTA
FAERIE GLEN UIT 1,0081,81,M,PTA
FAERIE GLEN UIT 2,0081,81,M,PTA
FAERIE GLEN UIT 24,0081,81,M,PTA
FAERIE GLEN UIT 28,0081,81,M,PTA
FAERIE GLEN UIT 3,0081,81,M,PTA
FAERIE GLEN UIT 32,0081,81,M,PTA
FAERIE GLEN UIT 34,0081,81,M,PTA
FAERIE GLEN UIT 36,0081,81,M,PTA
FAERIE GLEN UIT 37,0081,81,M,PTA
FAERIE GLEN UIT 4,0081,81,M,PTA
FAERIE GLEN UIT 48,0081,81,M,PTA
FAERIE GLEN UIT 6,0081,81,M,PTA
FAERIE GLEN UIT 61,0081,81,M,PTA
FAERIE GLEN UIT 7,0081,81,M,PTA
FAERIE GLEN UIT 70,0081,81,M,PTA
FAERIE GLEN UIT 71,0081,81,M,PTA
FAERIE GLEN UIT 8,0081,81,M,PTA
FAERIE GLEN UIT 9,0081,81,M,PTA
GARSFONTEIN,0081,81,M,PTA
GARSFONTEIN EAST,0081,81,M,PTA
GARSFONTEIN EXT 1,0081,81,M,PTA
GARSFONTEIN EXT 10,0081,81,M,PTA
GARSFONTEIN EXT 11,0081,81,M,PTA
GARSFONTEIN EXT 12,0081,81,M,PTA
GARSFONTEIN EXT 13,0081,81,M,PTA
GARSFONTEIN EXT 14,0081,81,M,PTA
GARSFONTEIN EXT 15,0081,81,M,PTA
GARSFONTEIN EXT 16,0081,81,M,PTA
GARSFONTEIN EXT 17,0081,81,M,PTA
GARSFONTEIN EXT 2,0081,81,M,PTA
GARSFONTEIN EXT 3,0081,81,M,PTA
GARSFONTEIN EXT 4,0081,81,M,PTA
GARSFONTEIN EXT 5,0081,81,M,PTA
GARSFONTEIN EXT 6,0081,81,M,PTA
GARSFONTEIN EXT 7,0081,81,M,PTA
GARSFONTEIN EXT 8,0081,81,M,PTA
GARSFONTEIN EXT 9,0081,81,M,PTA
GARSFONTEIN UIT 1,0081,81,M,PTA
GARSFONTEIN UIT 10,0081,81,M,PTA
GARSFONTEIN UIT 11,0081,81,M,PTA
GARSFONTEIN UIT 12,0081,81,M,PTA
GARSFONTEIN UIT 13,0081,81,M,PTA
GARSFONTEIN UIT 14,0081,81,M,PTA
GARSFONTEIN UIT 15,0081,81,M,PTA
GARSFONTEIN UIT 16,0081,81,M,PTA
GARSFONTEIN UIT 17,0081,81,M,PTA
GARSFONTEIN UIT 2,0081,81,M,PTA
GARSFONTEIN UIT 3,0081,81,M,PTA
GARSFONTEIN UIT 4,0081,81,M,PTA
GARSFONTEIN UIT 5,0081,81,M,PTA
GARSFONTEIN UIT 6,0081,81,M,PTA
GARSFONTEIN UIT 7,0081,81,M,PTA
GARSFONTEIN UIT 8,0081,81,M,PTA
GARSFONTEIN UIT 9,0081,81,M,PTA
GARSFONTEIN WEST,0081,81,M,PTA
GARSFONTEIN-OOS,0081,81,M,PTA
GARSFONTEIN-WES,0081,81,M,PTA
GLENWOOD,0081,81,M,PTA
HAZELWOOD,0081,81,M,PTA
LYNNRODENE,0081,81,M,PTA
LYNNWOOD,0081,81,M,PTA
LYNNWOOD EXT 1,0081,81,M,PTA
LYNNWOOD GLEN,0081,81,M,PTA
LYNNWOOD GLEN EXT 2,0081,81,M,PTA
LYNNWOOD GLEN EXT 3,0081,81,M,PTA
LYNNWOOD GLEN EXT 4,0081,81,M,PTA
LYNNWOOD MANOR,0081,81,M,PTA
LYNNWOOD MANOR EXT 1,0081,81,M,PTA
LYNNWOOD MANOR EXT 2,0081,81,M,PTA
